ko,item,usage_pct,model_class
이상해꽃,큰뿌리,0.8,(모델 밖)
밀로틱,먹다남은음식,61,먹다남은음식
밀로틱,자뭉열매,19.9,자뭉열매
밀로틱,울퉁불퉁멧,8.9,울퉁불퉁멧
밀로틱,리샘열매,2.7,(모델 밖)
스코빌런,먹다남은음식,5.8,먹다남은음식
스코빌런,큰뿌리,0.3,(모델 밖)
스코빌런,생명의구슬,0.3,생명의구슬
스코빌런,자뭉열매,0.3,자뭉열매
아쿠스타,기합의띠,1.4,기합의띠
아쿠스타,생명의구슬,1,생명의구슬
아쿠스타,달인의띠,1,달인의띠
아쿠스타,구애스카프,0.8,구애스카프
몰드류,구애스카프,41.6,구애스카프
몰드류,생명의구슬,30.6,생명의구슬
몰드류,기합의띠,18.2,기합의띠
몰드류,풍선,2.9,풍선
조로아크(히스이),기합의띠,64.8,기합의띠
조로아크(히스이),구애스카프,12.5,구애스카프
조로아크(히스이),생명의구슬,9.6,생명의구슬
조로아크(히스이),달인의띠,1.8,달인의띠
미끄래곤(히스이),먹다남은음식,53.7,먹다남은음식
미끄래곤(히스이),자뭉열매,11.4,자뭉열매
미끄래곤(히스이),유루열매,9.2,(모델 밖)
미끄래곤(히스이),하양허브,6.7,(모델 밖)
잠만보,먹다남은음식,44.5,먹다남은음식
잠만보,유루열매,16.4,(모델 밖)
잠만보,로플열매,12.3,(모델 밖)
잠만보,자뭉열매,11,자뭉열매
무장조,자뭉열매,27.7,자뭉열매
무장조,먹다남은음식,24.8,먹다남은음식
무장조,멘탈허브,4.5,(모델 밖)
무장조,리샘열매,2.8,(모델 밖)
클레스퍼트라,기합의띠,53.5,기합의띠
클레스퍼트라,자뭉열매,19.1,자뭉열매
클레스퍼트라,먹다남은음식,9,먹다남은음식
클레스퍼트라,멘탈허브,2.6,(모델 밖)
창파나이트,대파,84.3,(모델 밖)
창파나이트,기합의띠,10.1,기합의띠
창파나이트,생명의구슬,1.6,생명의구슬
창파나이트,구애스카프,1.5,구애스카프
우츠보트,기합의띠,0.3,기합의띠
우츠보트,생명의구슬,0.2,생명의구슬
우츠보트,박식안경,0.1,(모델 밖)
우츠보트,먹다남은음식,0.1,먹다남은음식
가라르야도킹,먹다남은음식,29.6,먹다남은음식
가라르야도킹,슈캐열매,25.1,(모델 밖)
가라르야도킹,자뭉열매,24.8,자뭉열매
가라르야도킹,반짝가루,3.3,(모델 밖)
깜까미,빛의점토,43.7,(모델 밖)
깜까미,먹다남은음식,11.4,먹다남은음식
깜까미,기합의띠,5.7,기합의띠
깜까미,울퉁불퉁멧,4.7,울퉁불퉁멧
엘풍,기합의띠,53.8,기합의띠
엘풍,먹다남은음식,24.8,먹다남은음식
엘풍,생명의구슬,4.1,생명의구슬
엘풍,울퉁불퉁멧,3.3,울퉁불퉁멧
저승갓숭,먹다남은음식,41.4,먹다남은음식
저승갓숭,자뭉열매,34.1,자뭉열매
저승갓숭,울퉁불퉁멧,3.3,울퉁불퉁멧
저승갓숭,기합의띠,3.1,기합의띠
스트린더(하이),풍선,48.2,풍선
스트린더(하이),기합의띠,16.2,기합의띠
스트린더(하이),구애스카프,14.6,구애스카프
스트린더(하이),생명의구슬,5.3,생명의구슬
샤미드,먹다남은음식,82.2,먹다남은음식
샤미드,자뭉열매,8.8,자뭉열매
샤미드,유루열매,2.8,(모델 밖)
샤미드,울퉁불퉁멧,1.8,울퉁불퉁멧
사마자르,기합의띠,63.3,기합의띠
사마자르,구애스카프,28.2,구애스카프
사마자르,생명의구슬,2.3,생명의구슬
사마자르,리샘열매,1.2,(모델 밖)
인텔리레온,초점렌즈,47.4,(모델 밖)
인텔리레온,기합의띠,37.8,기합의띠
인텔리레온,생명의구슬,3.5,생명의구슬
인텔리레온,구애스카프,3.1,구애스카프
깨비물거미,자뭉열매,38.8,자뭉열매
깨비물거미,신비의물방울,20,타입강화
깨비물거미,기합의띠,9.2,기합의띠
깨비물거미,먹다남은음식,6.1,먹다남은음식
가디안,기합의띠,25.4,기합의띠
가디안,구애스카프,7.3,구애스카프
가디안,생명의구슬,1.4,생명의구슬
가디안,자뭉열매,1.1,자뭉열매
왕구리,축축한바위,50.3,(모델 밖)
왕구리,자뭉열매,13.4,자뭉열매
왕구리,신비의물방울,6,타입강화
왕구리,먹다남은음식,5.4,먹다남은음식
엘레이드,생명의구슬,25.3,생명의구슬
엘레이드,기합의띠,22.8,기합의띠
엘레이드,구애스카프,16.4,구애스카프
엘레이드,초점렌즈,8.8,(모델 밖)
브리무음,기합의띠,30.1,기합의띠
브리무음,자뭉열매,29.1,자뭉열매
브리무음,먹다남은음식,13.8,먹다남은음식
브리무음,큰뿌리,5.9,(모델 밖)
눈여아,기합의띠,1.6,기합의띠
눈여아,구애스카프,0.4,구애스카프
눈여아,빛의점토,0.2,(모델 밖)
눈여아,자뭉열매,0.1,자뭉열매
어흥염,자뭉열매,48.5,자뭉열매
어흥염,먹다남은음식,20.6,먹다남은음식
어흥염,유루열매,5.8,(모델 밖)
어흥염,로플열매,4,(모델 밖)
마릴리,자뭉열매,65.6,자뭉열매
마릴리,리샘열매,7.2,(모델 밖)
마릴리,신비의물방울,6.9,타입강화
마릴리,생명의구슬,5.8,생명의구슬
올리르바,기합의띠,24.7,기합의띠
올리르바,먹다남은음식,22.6,먹다남은음식
올리르바,자뭉열매,21.4,자뭉열매
올리르바,큰뿌리,8.4,(모델 밖)
스트린더(로우),풍선,50.4,풍선
스트린더(로우),구애스카프,15.1,구애스카프
스트린더(로우),기합의띠,13.5,기합의띠
스트린더(로우),먹다남은음식,5.2,먹다남은음식
펜드라,기합의띠,18.3,기합의띠
펜드라,자뭉열매,13.1,자뭉열매
펜드라,멘탈허브,9.5,(모델 밖)
펜드라,먹다남은음식,7.3,먹다남은음식
화염레오,기합의띠,0.5,기합의띠
화염레오,풍선,0.3,풍선
화염레오,자뭉열매,0.2,자뭉열매
화염레오,생명의구슬,0.2,생명의구슬
윈디(히스이),기합의띠,47.9,기합의띠
윈디(히스이),구애스카프,28.3,구애스카프
윈디(히스이),생명의구슬,8,생명의구슬
윈디(히스이),풍선,5.6,풍선
캥카,실크스카프,4,타입강화
캥카,생명의구슬,0.9,생명의구슬
캥카,자뭉열매,0.4,자뭉열매
캥카,메트로놈,0.3,(모델 밖)
꿈트렁,자뭉열매,79.4,자뭉열매
꿈트렁,먹다남은음식,9.4,먹다남은음식
꿈트렁,울퉁불퉁멧,3.6,울퉁불퉁멧
꿈트렁,기합의띠,1.8,기합의띠
에써르(암컷),그라운드코트,39.4,(모델 밖)
에써르(암컷),사이코시드,21.7,(모델 밖)
에써르(암컷),기합의띠,7.9,기합의띠
에써르(암컷),구애스카프,7.4,구애스카프
후딘,기합의띠,18.2,기합의띠
후딘,생명의구슬,5.3,생명의구슬
후딘,구애스카프,2.9,구애스카프
후딘,휘어진스푼,0.4,타입강화
드래캄,생명의구슬,2.3,생명의구슬
드래캄,자뭉열매,1.1,자뭉열매
드래캄,먹다남은음식,0.8,먹다남은음식
드래캄,풍선,0.6,풍선
