rank,ko,en,type1,type2,HP,Atk,Def,SpA,SpD,Spe,BST,abilities,mega,mega_stone,stone_rate_pct,ladder_count_149,opp_weight,model_off,model_dur,model_total,dur_share,recovery_q,atk_move_slots,setup_move,setup_pct,setup_mul,top_item,top_item_pct,item_class
11,고릴타,rillaboom,풀,,100,125,90,60,70,85,530,그래스메이커|심록,,,,6,0.69759,0.054,-0.136,-0.003,0,0.000,3.65,칼춤,10.4,2,생명의구슬,26.2,1
12,킬가르도,aegislash,강철,고스트,60,50,140,50,140,60,500,배틀스위치,,,,14,1.62770,0.083,-0.027,0.05,0,0.000,2.91,칼춤,28.1,2,먹다남은음식,51.3,5
13,마스카나,meowscarada,풀,악,76,110,70,81,70,123,530,변환자재|심록,,,,27,3.13914,0.199,-0.336,0.038,0,0.000,3.82,,,,구애스카프,60.9,2
14,갸라도스,gyarados,물,비행,95,125,79,60,100,81,540,위협|자기과신,메가갸라도스,갸라도스나이트,23.2,21,2.44155,0.172,0.09,0.147,0.18,0.000,2.66,용의춤,33.8,1.5,울퉁불퉁멧,48.8,8
15,아머까오,corviknight,비행,강철,98,87,105,53,85,67,495,프레셔|미러아머|긴장감,,,,18,2.09276,-0.097,0.199,-0.008,0,1.000,1.92,벌크업,28.6,1.5,울퉁불퉁멧,58.6,8
16,킬라플로르,glimmora,바위,독,83,55,90,130,81,86,525,독치장|부식,메가킬라플로르,킬라플로르나이트,19,10,1.16265,0.002,-0.266,-0.078,0,0.000,3.41,,,,기합의띠,62.4,3
17,대쓰여너,basculegion-male,물,고스트,120,112,65,80,75,78,530,적응력|쓱쓱|틀깨기,,,,11,1.27891,0.035,-0.115,-0.01,0,0.000,3.83,,,,구애스카프,67.4,2
18,리자몽,charizard,불꽃,비행,78,84,78,109,85,100,534,맹화|선파워,메가리자몽Y,리자몽나이트Y,98.7,19,2.20903,0.202,-0.101,0.111,0,0.226,3.5,용의춤,27.6,1.5,구애스카프,0.2,2
19,포푸니크,sneasler,격투,독,80,130,60,40,80,120,510,곡예|독수|프레셔,,,,12,1.39517,0.208,-0.267,0.065,0,0.000,3.4,칼춤,57.9,2,사이코시드,48.5,0
20,개굴닌자,greninja,물,악,72,95,67,103,71,122,530,변환자재|급류,메가개굴닌자,개굴닌자나이트,39.2,19,2.20903,0.228,-0.285,0.074,0,0.000,3.9,,,,기합의띠,39.4,3
21,에이스번,cinderace,불꽃,,80,116,75,65,75,119,530,리베로|맹화,,,,3,0.34879,0.428,-0.137,0.259,0,0.000,3.89,,,,구애스카프,33.8,2
22,알로라 나인테일,ninetales-alolan,얼음,페어리,73,67,75,81,100,109,505,눈퍼뜨리기|눈숨기,,,,9,1.04638,-0.03,-0.251,-0.096,0,0.000,1.96,,,,빛의점토,92.2,0
23,에써르(수컷),indeedee-male,에스퍼,노말,60,65,55,105,95,95,475,사이코메이커|정신력|싱크로,,,,6,0.69759,-0.167,-0.211,-0.18,0,0.000,2.84,,,,구애스카프,44.2,2
24,워시로토무,rotom-wash,전기,물,50,65,107,105,107,86,520,부유,,,,6,0.69759,0.041,-0.02,0.023,0,0.000,2.47,,,,먹다남은음식,33.7,5
25,불카모스,volcarona,벌레,불꽃,85,60,65,135,105,100,550,불꽃몸|벌레의알림,,,,10,1.16265,0.078,-0.013,0.051,0,0.599,2.24,나비춤,98.9,1.5,자뭉열매,47.2,4
26,빠르모트,pawmot,전기,격투,70,115,70,70,60,105,490,철주먹|축전|자연회복,,,,2,0.23253,0.207,-0.309,0.052,0,0.000,3.02,,,,기합의띠,90.5,3
27,라우드본,skeledirge,불꽃,고스트,104,75,100,110,75,66,530,천진|맹화,,,,7,0.81385,-0.127,0.1,-0.059,0,0.951,2.03,,,,자뭉열매,40.8,4
28,삼삼드래,hydreigon,악,드래곤,92,105,90,125,90,98,600,부유,,,,10,1.16265,0.092,-0.265,-0.015,0,0.000,3.87,,,,구애스카프,86.8,2
29,메타그로스,metagross,강철,에스퍼,80,135,130,95,90,70,600,클리어바디|라이트메탈,메가메타그로스,메타그로스나이트,95.4,28,3.25541,0.036,-0.068,0.005,0,0.000,3.84,,,,생명의구슬,0.8,1
30,망나뇽,dragonite,드래곤,비행,91,134,95,100,100,80,600,멀티스케일|정신력,메가망나뇽,망나뇽나이트,76.3,19,2.20903,0.106,0.099,0.104,0.29,0.510,3.32,용의춤,17.1,1.5,리샘열매,6.8,0
31,님피아,sylveon,페어리,,95,65,65,110,130,60,525,페어리스킨|헤롱헤롱바디,,,,9,1.04638,0.16,0.192,0.169,0.34,0.716,1.63,,,,먹다남은음식,70.4,5
32,히트로토무,rotom-heat,전기,불꽃,50,65,107,105,107,86,520,부유,,,,6,0.69759,0.175,-0.016,0.117,0,0.000,2.49,나쁜음모,11.8,2,구애스카프,38.7,2
33,거북왕,blastoise,물,,79,83,100,85,105,78,530,급류|젖은접시,메가거북왕,거북왕나이트,96.3,7,0.81385,-0.002,-0.056,-0.018,0,0.000,3.08,껍질깨기,92.2,2,하양허브,1.9,0
34,대도각참,kingambit,악,강철,100,135,120,60,85,50,550,총대장|오기|프레셔,,,,15,1.74397,-0.364,-0.192,-0.312,0,0.000,2.84,칼춤,65.3,2,검은안경,45.6,7
35,팬텀,gengar,고스트,독,60,65,60,130,75,110,500,저주받은바디,메가팬텀,팬텀나이트,78.6,13,1.51144,0.121,-0.33,-0.014,0,0.000,2.22,,,,기합의띠,19.2,3
36,마폭시,delphox,불꽃,에스퍼,75,69,72,114,100,104,534,맹화|매지션,메가마폭시,마폭시나이트,97.7,16,1.86023,0.152,-0.227,0.038,0,0.000,2.56,나쁜음모,58.3,2,기합의띠,0.7,3
37,엠페르트,empoleon,물,강철,84,86,88,111,101,60,530,승기|급류,,,,2,0.23253,-0.144,-0.042,-0.113,0,0.116,2.57,,,,슈캐열매,43.9,0
38,번치코,blaziken,불꽃,격투,80,120,70,110,70,80,530,가속|맹화,메가번치코,번치코나이트,60.4,8,0.93012,-0.029,-0.252,-0.096,0,0.000,2.61,칼춤,46.9,2,생명의구슬,18,1
39,대짱이,swampert,물,땅,100,110,90,85,90,60,535,급류|습기,메가대짱이,대짱이나이트,67.3,8,0.93012,-0.092,-0.08,-0.089,0,0.000,3.21,,,,자뭉열매,14.1,4
40,라이츄,raichu,전기,,60,90,55,90,80,110,485,피뢰침|정전기,메가라이츄Y,라이츄나이트Y,98.1,12,1.39517,0.091,-0.244,-0.009,0,0.000,3.18,나쁜음모,22.6,2,구애스카프,0.5,2
41,블래키,umbreon,악,,95,65,110,60,130,65,525,정신력|싱크로,,,,11,1.27891,-0.623,0.048,-0.422,0,0.833,1.03,,,,먹다남은음식,88.8,5
42,다크펫,banette,고스트,,64,115,65,83,63,65,455,통찰|불면|저주받은바디,메가다크펫,다크펫나이트,99.4,1,0.11626,-0.338,-0.267,-0.316,0,0.000,1.85,,,,기합의띠,0.3,3
43,더시마사리,toxapex,독,물,50,63,152,53,142,35,495,재생력|무도한행동|유연,,,,9,1.04638,-0.743,0.025,-0.512,0,1.000,0.82,,,,먹다남은음식,67.3,5
44,핫삼,scizor,벌레,강철,70,130,100,55,80,65,500,테크니션|라이트메탈|벌레의알림,메가핫삼,핫삼나이트,19.3,12,1.39517,-0.154,0.014,-0.104,0,0.575,2.57,칼춤,64.2,2,울퉁불퉁멧,19.3,8
45,오롱털,grimmsnarl,악,페어리,95,120,65,95,75,60,510,짓궂은마음|통찰|나쁜손버릇,,,,8,0.93012,-0.351,-0.194,-0.304,0,0.000,1.18,,,,빛의점토,81.6,0
46,픽시,clefable,페어리,,95,70,73,95,90,60,483,천진|매직가드|헤롱헤롱바디,메가픽시,픽시나이트,79,6,0.69759,-0.417,0.063,-0.273,0,0.894,1.88,명상,37.4,1.5,먹다남은음식,10.5,5
47,카디나르마,armarouge,불꽃,에스퍼,85,60,100,125,80,75,525,깨어진갑옷|타오르는불꽃,,,,3,0.34879,-0.009,-0.121,-0.043,0,0.000,2.65,명상,17.9,1.5,기합의띠,88.6,3
48,앱솔,absol,악,,65,130,60,75,60,75,465,대운|정의의마음|프레셔,메가앱솔Z,앱솔나이트Z,67.7,2,0.23253,-0.246,-0.32,-0.268,0,0.000,3.37,칼춤,51.2,2,초점렌즈,8.9,0
49,찌리배리,bellibolt,전기,,109,64,91,103,83,45,495,전기로바꾸기|정전기,,,,7,0.81385,-0.406,0.16,-0.236,0,0.934,1.34,,,,먹다남은음식,64.8,5
50,맘모꾸리,mamoswine,얼음,땅,110,130,80,70,60,80,530,두꺼운지방|둔감|눈숨기,,,,5,0.58132,0.004,-0.249,-0.072,0,0.000,3.28,,,,기합의띠,86.6,3
51,파라블레이즈,ceruledge,불꽃,고스트,75,125,80,60,100,85,525,깨어진갑옷|타오르는불꽃,,,,8,0.93012,0.048,-0.192,-0.024,0,0.000,3.17,칼춤,65.8,2,기합의띠,80.3,3
52,패리퍼,pelipper,물,비행,60,50,100,95,70,65,440,잔비|날카로운눈|젖은접시,,,,8,0.93012,-0.236,-0.144,-0.209,0,0.159,3.61,,,,축축한바위,63.3,0
53,찌르호크,staraptor,노말,비행,85,120,70,50,60,100,485,위협|이판사판,메가찌르호크,찌르호크나이트,79.8,7,0.81385,0.199,0.096,0.168,0.17,0.817,2.76,,,,구애스카프,17.7,2
54,대검귀,samurott-hisui,물,악,90,108,80,100,65,85,528,예리함|급류,,,,7,0.81385,-0.226,-0.241,-0.23,0,0.000,3.71,칼춤,20,2,검은안경,37.1,7
55,마기라스,tyranitar,바위,악,100,134,110,95,100,61,600,모래날림|긴장감,메가마기라스,마기라스나이트,29.2,8,0.93012,-0.183,-0.266,-0.208,0,0.000,2.9,용의춤,15.9,1.5,먹다남은음식,15.8,5
56,이어롭,lopunny,노말,,65,76,84,54,96,105,480,유연|헤롱헤롱바디|서투름,메가이어롭,이어롭나이트,95.6,11,1.27891,0.065,-0.158,-0.002,0,0.000,3.65,칼춤,34.8,2,자뭉열매,2.5,4
57,플라엣테,floette-eternal-flower,페어리,,74,65,67,125,128,92,551,플라워베일|공생,메가플라엣테,플라엣테나이트,88.5,9,1.04638,0.181,0.034,0.137,0.07,0.442,2.19,명상,87.9,1.5,구애스카프,11.3,2
58,배바닐라,vanilluxe,얼음,,71,95,85,110,95,79,535,눈퍼뜨리기|깨어진갑옷|아이스바디,,,,3,0.34879,-0.338,-0.201,-0.297,0,0.000,2.7,,,,녹지않는얼음,51.1,7
59,드래펄트,dragapult,드래곤,고스트,88,120,75,100,75,142,600,틈새포착|저주받은바디|클리어바디,,,,5,0.58132,0.302,-0.243,0.139,0,0.000,3.47,,,,생명의구슬,37.5,1
60,입치트,mawile,강철,페어리,50,85,85,55,55,50,380,위협|우격다짐|괴력집게,메가입치트,입치트나이트,99.5,9,1.04638,-0.38,-0.141,-0.308,0,0.000,3.45,칼춤,55.3,2,기합의띠,0,3
61,메가니움,meganium,풀,,80,82,100,83,100,80,525,심록|리프가드,메가메가니움,메가니움나이트,99.6,6,0.69759,-0.219,0.019,-0.148,0,0.699,2.92,,,,기합의띠,0.1,3
62,메타몽,ditto,노말,,48,48,48,48,48,48,288,괴짜|유연,,,,2,0.23253,-0.847,-0.379,-0.707,0,0.000,0,,,,구애스카프,84.8,2
63,이상해꽃,venusaur,풀,독,80,82,83,100,100,80,525,엽록소|심록,메가이상해꽃,이상해꽃나이트,82.7,7,0.81385,-0.178,0.032,-0.115,0,0.651,2.52,,,,생명의구슬,10.3,1
64,밀로틱,milotic,물,,95,60,79,100,125,81,540,승기|이상한비늘|헤롱헤롱바디,,,,3,0.34879,-0.212,0.127,-0.11,0,0.994,1.89,,,,먹다남은음식,61,5
65,스코빌런,scovillain,풀,불꽃,65,108,65,108,65,75,486,변덕쟁이|불면|엽록소,메가스코빌런,스코빌런나이트,92,4,0.46506,-0.085,-0.145,-0.103,0,0.251,1.99,,,,먹다남은음식,5.8,5
66,아쿠스타,starmie,물,에스퍼,60,75,85,100,85,115,520,자연회복|발광|애널라이즈,메가아쿠스타,아쿠스타나이트,93.9,7,0.81385,-0.127,-0.234,-0.159,0,0.000,3.95,,,,기합의띠,1.4,3
67,몰드류,excadrill,땅,강철,110,135,60,50,65,88,508,틀깨기|모래헤치기|모래의힘,메가몰드류,몰드류나이트,2.3,5,0.58132,-0.034,-0.295,-0.113,0,0.000,3.15,칼춤,35.8,2,구애스카프,41.6,2
68,조로아크(히스이),zoroark-hisui,노말,고스트,55,100,60,125,60,110,510,일루전,,,,3,0.34879,0.182,-0.255,0.051,0,0.000,3.53,,,,기합의띠,64.8,3
69,미끄래곤(히스이),goodra-hisui,강철,드래곤,80,100,100,110,150,60,600,초식|미끈미끈|조가비갑옷,,,,3,0.34879,0.053,0.057,0.054,0.31,0.000,3.69,,,,먹다남은음식,53.7,5
70,잠만보,snorlax,노말,,160,110,65,65,110,30,540,두꺼운지방|면역|먹보,,,,3,0.34879,-0.037,0.23,0.043,1,0.183,2.24,,,,먹다남은음식,44.5,5
71,무장조,skarmory,강철,비행,65,80,140,40,70,70,465,옹골참|깨어진갑옷|날카로운눈,메가무장조,무장조나이트,32,0,0.41294,-0.068,0.105,-0.016,0,0.725,1.44,칼춤,27.2,2,자뭉열매,27.7,4
72,클레스퍼트라,espathra,에스퍼,,95,60,60,101,60,105,481,가속|편승|통찰,,,,3,0.34879,-0.176,-0.231,-0.193,0,0.000,1.91,명상,49.4,1.5,기합의띠,53.5,3
73,창파나이트,sirfetchd,격투,,62,135,95,68,82,65,507,배짱|불굴의마음,,,,1,0.11626,-0.13,-0.228,-0.159,0,0.000,3.9,,,,대파,84.3,0
74,우츠보트,victreebel,풀,독,80,105,65,100,70,70,490,엽록소|먹보,메가우츠보트,우츠보트나이트,98.9,1,0.11626,-0.46,-0.138,-0.363,0,0.500,2.7,,,,기합의띠,0.3,3
75,가라르야도킹,slowking-galarian,독,에스퍼,95,65,80,110,110,30,490,재생력|마이페이스|기묘한약,,,,5,0.58132,-0.279,0.067,-0.175,0,0.664,2.03,명상,23.3,1.5,먹다남은음식,29.6,5
76,깜까미,sableye,악,고스트,50,75,75,65,65,50,380,짓궂은마음|날카로운눈|시간벌기,메가깜까미,깜까미나이트,20.8,3,0.34879,-0.775,-0.209,-0.606,0,0.434,0.79,,,,빛의점토,43.7,0
77,엘풍,whimsicott,풀,페어리,60,67,85,77,75,116,480,짓궂은마음|엽록소|틈새포착,,,,5,0.58132,-0.242,-0.331,-0.269,0,0.000,1.08,,,,기합의띠,53.8,3
78,저승갓숭,annihilape,격투,고스트,110,115,80,50,90,90,535,오기|의기양양|정신력,,,,1,0.11626,0.132,-0.003,0.091,0,0.313,2.19,벌크업,79.6,1.5,먹다남은음식,41.4,5
79,스트린더(하이),toxtricity-amped,전기,독,75,98,70,114,70,75,502,펑크록|테크니션|플러스,,,,0,0.37627,-0.287,-0.237,-0.272,0,0.000,3.55,,,,풍선,48.2,9
80,샤미드,vaporeon,물,,130,65,60,110,95,65,525,저수|촉촉바디,,,,2,0.23253,-0.237,0.137,-0.125,0,0.877,1.46,명상,12.7,1.5,먹다남은음식,82.2,5
81,사마자르,kleavor,벌레,바위,70,135,95,45,70,85,500,예리함|벌레의알림|우격다짐,,,,2,0.23253,-0.159,-0.224,-0.178,0,0.000,3.7,,,,기합의띠,63.3,3
82,인텔리레온,inteleon,물,,70,85,65,125,65,120,530,스나이퍼|급류,,,,0,0.36420,0.051,-0.245,-0.037,0,0.000,3.37,,,,초점렌즈,47.4,0
83,깨비물거미,araquanid,물,벌레,68,70,92,50,132,42,454,수포|저수,,,,3,0.34879,-0.496,-0.039,-0.359,0,0.106,2,,,,자뭉열매,38.8,4
84,가디안,gardevoir,에스퍼,페어리,68,65,65,125,115,80,518,트레이스|싱크로|텔레파시,메가가디안,가디안나이트,59.2,4,0.46506,-0.084,-0.18,-0.113,0,0.000,3.62,,,,기합의띠,25.4,3
85,왕구리,politoed,물,,90,75,75,90,100,70,500,잔비|저수|습기,,,,3,0.34879,-0.269,-0.105,-0.22,0,0.000,2.59,,,,축축한바위,50.3,0
86,엘레이드,gallade,에스퍼,격투,68,125,65,65,115,80,518,예리함|정의의마음|불굴의마음,메가엘레이드,엘레이드나이트,12.3,3,0.34879,-0.038,-0.192,-0.084,0,0.012,3.93,,,,생명의구슬,25.3,1
87,브리무음,hatterene,에스퍼,페어리,57,90,95,136,103,29,510,매직미러|위험예지|치유의마음,,,,1,0.11626,-0.341,-0.09,-0.266,0,0.175,2.73,명상,37,1.5,기합의띠,30.1,3
88,눈여아,froslass,얼음,고스트,70,80,70,80,70,110,480,저주받은바디|눈숨기,메가눈여아,눈여아나이트,96,2,0.23253,0.008,-0.312,-0.088,0,0.000,3.08,나쁜음모,12.2,2,기합의띠,1.6,3
89,어흥염,incineroar,불꽃,악,95,115,90,80,90,60,530,위협|맹화,,,,6,0.69759,-0.05,0.052,-0.019,0,0.036,2.37,,,,자뭉열매,48.5,4
90,마릴리,azumarill,물,페어리,100,50,80,60,80,50,420,천하장사|초식|두꺼운지방,,,,1,0.11626,-0.501,-0.045,-0.364,0,0.000,3.14,배북,59.8,4,자뭉열매,65.6,4
91,올리르바,arboliva,풀,노말,78,69,90,125,109,39,510,넘치는씨|수확,,,,3,0.34879,-0.339,-0.081,-0.261,0,0.300,1.75,,,,기합의띠,24.7,3
92,스트린더(로우),toxtricity-low-key,전기,독,75,98,70,114,70,75,502,펑크록|테크니션|마이너스,,,,0,0.32918,-0.295,-0.237,-0.278,0,0.000,3.47,,,,풍선,50.4,9
93,펜드라,scolipede,벌레,독,60,100,89,55,69,112,485,가속|독가시|벌레의알림,메가펜드라,펜드라나이트,37.1,1,0.11626,0.092,-0.173,0.013,0,0.184,1.82,칼춤,66.7,2,기합의띠,18.3,3
94,화염레오,pyroar,불꽃,노말,86,68,72,109,66,106,507,긴장감|자기과신|투쟁심,메가화염레오,화염레오나이트,98,2,0.23253,0.116,-0.238,0.01,0,0.000,2.61,,,,기합의띠,0.5,3
95,윈디(히스이),arcanine-hisui,불꽃,바위,95,115,80,95,80,90,555,돌머리|위협|타오르는불꽃,,,,1,0.11626,0.144,-0.278,0.018,0,0.037,3.68,,,,기합의띠,47.9,3
96,캥카,kangaskhan,노말,,105,95,80,40,80,90,490,배짱|정신력|일찍기상,메가캥카,캥카나이트,92.4,7,0.81385,0.124,-0.079,0.063,0,0.054,4,,,,실크스카프,4,7
97,꿈트렁,orthworm,강철,,70,85,145,60,55,65,480,흙먹기|모래숨기,,,,0,0.31416,-0.29,-0.113,-0.237,0,0.021,1.58,,,,자뭉열매,79.4,4
98,에써르(암컷),indeedee-female,에스퍼,노말,70,55,65,95,105,85,475,사이코메이커|싱크로|마이페이스,,,,2,0.23253,-0.338,-0.176,-0.29,0,0.000,2.18,,,,그라운드코트,39.4,0
99,후딘,alakazam,에스퍼,,55,50,45,135,95,120,500,매직가드|정신력|싱크로,,,,0,0.30854,0.147,-0.283,0.018,0,0.000,3.24,나쁜음모,40.8,2,기합의띠,18.2,3
100,드래캄,dragalge,독,드래곤,65,75,90,97,123,44,494,적응력|독가시|독수,메가드래캄,드래캄나이트,92.2,5,0.58132,-0.176,-0.145,-0.167,0,0.000,3.11,,,,생명의구슬,2.3,1
