team_no,size,members
32,6,이어롭|망나뇽|개굴닌자|따라큐|대도각참|대쓰여너
33,6,스코빌런|픽시|핫삼|삼삼드래|아쿠스타|한카리아스
34,5,따라큐|개굴닌자|대쓰여너|이어롭|브리두라스
35,6,패리퍼|브리두라스|대짱이|마폭시|오롱털|따라큐
36,4,밀로틱|번치코|가디안|입치트
37,6,갸라도스|한카리아스|플라엣테|마스카나|라우드본|브리두라스
38,6,누리레느|한카리아스|마스카나|아머까오|마폭시|블래키
39,6,팬텀|누리레느|하마돈|마스카나|캥카|브리두라스
40,6,픽시|불카모스|한카리아스|대도각참|개굴닌자|마스카나
41,5,번치코|메타그로스|대쓰여너|알로라 나인테일|한카리아스
42,6,갸라도스|누리레느|리자몽|알로라 나인테일|한카리아스|포푸니크
43,6,라이츄|대도각참|한카리아스|팬텀|마릴리|갸라도스
44,6,마폭시|한카리아스|누리레느|브리두라스|리자몽|대검귀
45,6,더시마사리|드래펄트|하마돈|밀로틱|킬가르도|팬텀
46,5,찌르호크|대도각참|왕구리|대짱이|찌리배리
47,5,망나뇽|타부자고|찌리배리|캥카|픽시
48,6,빠르모트|다크펫|누리레느|루카리오|불카모스|한카리아스
49,6,님피아|마폭시|보만다|마스카나|따라큐|사마자르
50,6,보만다|대짱이|패리퍼|브리두라스|하마돈|한카리아스
51,5,메타그로스|개굴닌자|따라큐|브리두라스|클레스퍼트라
52,6,히트로토무|갸라도스|갑주무사|누리레느|팬텀|한카리아스
53,6,하마돈|보만다|킬가르도|마스카나|플라엣테|개굴닌자
54,6,가디안|워시로토무|어흥염|개굴닌자|갑주무사|한카리아스
55,6,드닐레이브|대도각참|포푸니크|에써르(수컷)|대쓰여너|갑주무사
56,6,하마돈|보만다|킬가르도|누리레느|히트로토무|루카리오
57,6,갑주무사|브리두라스|한카리아스|타부자고|보만다|패리퍼
58,6,핫삼|한카리아스|갸라도스|리자몽|브리두라스|따라큐
59,5,더시마사리|가라르야도킹|핫삼|팬텀|미끄래곤(히스이)
60,6,갸라도스|한카리아스|대검귀|브리두라스|워시로토무|핫삼
61,4,망나뇽|아머까오|갸라도스|리자몽
62,4,찌르호크|드래캄|가라르야도킹|블래키
63,5,더시마사리|타부자고|망나뇽|번치코|대검귀
64,6,라이츄|이어롭|조로아크(히스이)|아머까오|누리레느|한카리아스
65,6,알로라 나인테일|번치코|한카리아스|킬라플로르|팬텀|블래키
66,6,킬라플로르|라이츄|마스카나|브리두라스|망나뇽|불카모스
67,6,드래캄|아머까오|오롱털|하마돈|킬가르도|알로라 나인테일
68,6,삼삼드래|플라엣테|브리두라스|불카모스|맘모꾸리|메타그로스
69,5,마기라스|플라엣테|몰드류|스코빌런|더시마사리
70,6,한카리아스|대검귀|타부자고|마스카나|메타그로스|불카모스
71,5,대도각참|샤미드|누리레느|리자몽|드래펄트
72,6,번치코|배바닐라|거북왕|대쓰여너|대도각참|우츠보트
73,6,한카리아스|라우드본|님피아|엠페르트|루카리오|갸라도스
74,6,한카리아스|마스카나|핫삼|누리레느|마폭시|망나뇽
75,4,캥카|조로아크(히스이)|화염레오|이어롭
76,6,포푸니크|조로아크(히스이)|마스카나|라이츄|리자몽|한카리아스
77,6,누리레느|마스카나|메타그로스|한카리아스|브리두라스|마폭시
78,6,리자몽|갑주무사|아머까오|빠르모트|고릴타|한카리아스
79,6,개굴닌자|워시로토무|오롱털|보만다|이어롭|핫삼
80,6,루카리오|따라큐|님피아|한카리아스|타부자고|보만다
81,5,왕구리|갑주무사|패리퍼|대짱이|브리두라스
82,6,마스카나|메타그로스|하마돈|누리레느|따라큐|리자몽
83,5,엘풍|메타그로스|따라큐|킬가르도|갸라도스
84,6,이어롭|아머까오|가라르야도킹|대검귀|님피아|마폭시
85,6,플라엣테|가라르야도킹|한카리아스|찌르호크|타부자고|마스카나
86,6,스코빌런|잠만보|킬가르도|엘레이드|한카리아스|대쓰여너
87,6,하마돈|팬텀|한카리아스|삼삼드래|메타그로스|누리레느
88,6,따라큐|대도각참|마폭시|이상해꽃|누리레느|개굴닌자
89,6,개굴닌자|라우드본|삼삼드래|대도각참|엘레이드|플라엣테
90,6,화염레오|플라엣테|더시마사리|아머까오|한카리아스|대쓰여너
91,6,갑주무사|누리레느|보만다|개굴닌자|따라큐|리자몽
92,6,깜까미|알로라 나인테일|거북왕|번치코|한카리아스|더시마사리
93,5,엘풍|찌르호크|패리퍼|브리두라스|블래키
94,6,한카리아스|브리두라스|개굴닌자|대쓰여너|클레스퍼트라|이어롭
95,4,메타그로스|삼삼드래|킬가르도|어흥염
96,6,미끄래곤(히스이)|플라엣테|하마돈|킬가르도|갸라도스|이어롭
97,6,마폭시|따라큐|마스카나|입치트|망나뇽|샤미드
98,6,개굴닌자|메타그로스|라이츄|깨비물거미|하마돈|님피아
99,6,아쿠스타|펜드라|삼삼드래|밀로틱|메타몽|스코빌런
100,6,한카리아스|님피아|마폭시|메타그로스|대도각참|워시로토무
101,6,따라큐|번치코|이어롭|누리레느|망나뇽|대도각참
102,6,한카리아스|리자몽|찌르호크|브리두라스|마스카나|누리레느
103,6,마기라스|몰드류|갸라도스|워시로토무|타부자고|팬텀
104,6,입치트|마스카나|누리레느|포푸니크|윈디(히스이)|망나뇽
105,6,오롱털|드래캄|아머까오|메가니움|히트로토무|한카리아스
106,4,포푸니크|몰드류|불카모스|배바닐라
107,6,갸라도스|한카리아스|불카모스|따라큐|마스카나|입치트
108,6,한카리아스|메타그로스|루카리오|갸라도스|님피아|어흥염
109,6,마폭시|마스카나|아머까오|팬텀|라이츄|누리레느
110,6,한카리아스|갸라도스|누리레느|따라큐|메타그로스|삼삼드래
111,6,캥카|가디안|킬가르도|포푸니크|아머까오|파라블레이즈
112,6,마스카나|브리무음|파라블레이즈|블래키|망나뇽|입치트
113,6,드래캄|아머까오|히트로토무|대검귀|누리레느|몰드류
114,4,브리두라스|맘모꾸리|파라블레이즈|메가니움
115,6,라우드본|이상해꽃|브리두라스|거북왕|알로라 나인테일|한카리아스
116,6,이상해꽃|아쿠스타|따라큐|아머까오|블래키|한카리아스
117,6,핫삼|아쿠스타|삼삼드래|마폭시|하마돈|더시마사리
118,5,킬라플로르|갸라도스|메타그로스|찌르호크|캥카
119,6,대쓰여너|깜까미|저승갓숭|타부자고|따라큐|파라블레이즈
120,4,대도각참|미끄래곤(히스이)|가라르야도킹|망나뇽
121,6,입치트|한카리아스|타부자고|갸라도스|따라큐|하마돈
122,6,마스카나|대짱이|입치트|알로라 나인테일|브리두라스|망나뇽
123,6,리자몽|어흥염|대도각참|한카리아스|마스카나|메타그로스
124,6,메타그로스|한카리아스|타부자고|마스카나|망나뇽|개굴닌자
125,5,메타그로스|번치코|잠만보|마기라스|이상해꽃
126,4,리자몽|라이츄|메타몽|핫삼
127,6,갸라도스|하마돈|드래펄트|개굴닌자|메타그로스|누리레느
128,6,마폭시|누리레느|대도각참|메타그로스|하마돈|한카리아스
129,5,라우드본|하마돈|누리레느|깜까미|더시마사리
130,6,맘모꾸리|아쿠스타|갸라도스|킬라플로르|팬텀|블래키
131,6,갸라도스|마기라스|타부자고|한카리아스|드래캄|알로라 나인테일
132,5,메가니움|개굴닌자|이상해꽃|라우드본|엠페르트
133,6,패리퍼|대짱이|브리두라스|오롱털|라이츄|불카모스
134,4,플라엣테|리자몽|블래키|타부자고
135,6,리자몽|한카리아스|따라큐|브리두라스|마스카나|메타그로스
136,6,리자몽|한카리아스|누리레느|마기라스|핫삼|따라큐
137,6,아머까오|한카리아스|갸라도스|마폭시|오롱털|타부자고
138,6,깨비물거미|찌리배리|하마돈|리자몽|킬가르도|아쿠스타
139,5,팬텀|찌리배리|잠만보|이상해꽃|픽시
140,6,이상해꽃|알로라 나인테일|블래키|불카모스|아머까오|더시마사리
141,5,팬텀|엘풍|캥카|아쿠스타|리자몽
142,6,라이츄|아머까오|한카리아스|누리레느|마스카나|마폭시
143,4,이어롭|대쓰여너|핫삼|망나뇽
144,6,하마돈|거북왕|마스카나|브리두라스|망나뇽|핫삼
145,5,어흥염|눈여아|라이츄|사마자르|타부자고
146,5,핫삼|누리레느|한카리아스|리자몽|마스카나
147,5,대짱이|패리퍼|브리두라스|한카리아스|메가니움
148,6,망나뇽|삼삼드래|킬가르도|메타그로스|킬라플로르|찌리배리
149,6,한카리아스|리자몽|라이츄|누리레느|타부자고|아머까오
