atk_ko,move,def_ko,turns_to_ko
보만다,용성군,엘풍,무효
보만다,용성군,저승갓숭,4
보만다,용성군,스트린더(하이),2
보만다,용성군,샤미드,6
보만다,용성군,사마자르,2
보만다,용성군,인텔리레온,2
보만다,용성군,깨비물거미,4
보만다,용성군,가디안,무효
보만다,용성군,왕구리,3
보만다,용성군,엘레이드,3
보만다,용성군,브리무음,무효
보만다,용성군,눈여아,2
보만다,용성군,어흥염,4
보만다,용성군,마릴리,무효
보만다,용성군,올리르바,3
보만다,용성군,스트린더(로우),2
보만다,용성군,펜드라,2
보만다,용성군,화염레오,3
보만다,용성군,윈디(히스이),3
보만다,용성군,캥카,3
보만다,용성군,꿈트렁,5
보만다,용성군,에써르(암컷),3
보만다,용성군,후딘,3
보만다,용성군,드래캄,2
보만다,화염방사,한카리아스,12
보만다,화염방사,누리레느,16
보만다,화염방사,갑주무사,5
보만다,화염방사,하마돈,8
보만다,화염방사,루카리오,3
보만다,화염방사,드닐레이브,6
보만다,화염방사,브리두라스,6
보만다,화염방사,타부자고,4
보만다,화염방사,따라큐,5
보만다,화염방사,고릴타,3
보만다,화염방사,킬가르도,4
보만다,화염방사,마스카나,3
보만다,화염방사,갸라도스,12
보만다,화염방사,아머까오,4
보만다,화염방사,킬라플로르,10
보만다,화염방사,대쓰여너,12
보만다,화염방사,리자몽,11
보만다,화염방사,포푸니크,5
보만다,화염방사,개굴닌자,9
보만다,화염방사,에이스번,10
보만다,화염방사,알로라 나인테일,3
보만다,화염방사,에써르(수컷),5
보만다,화염방사,워시로토무,24
보만다,화염방사,불카모스,9
보만다,화염방사,빠르모트,4
보만다,화염방사,라우드본,18
보만다,화염방사,삼삼드래,11
보만다,화염방사,메타그로스,3
보만다,화염방사,망나뇽,14
보만다,화염방사,님피아,16
보만다,화염방사,히트로토무,10
보만다,화염방사,거북왕,12
보만다,화염방사,대도각참,3
보만다,화염방사,팬텀,5
보만다,화염방사,마폭시,11
보만다,화염방사,엠페르트,6
보만다,화염방사,번치코,8
보만다,화염방사,대짱이,14
보만다,화염방사,라이츄,5
보만다,화염방사,블래키,17
보만다,화염방사,다크펫,4
보만다,화염방사,더시마사리,40
보만다,화염방사,핫삼,2
보만다,화염방사,오롱털,5
보만다,화염방사,픽시,12
보만다,화염방사,카디나르마,11
보만다,화염방사,앱솔,4
보만다,화염방사,찌리배리,12
보만다,화염방사,맘모꾸리,4
보만다,화염방사,파라블레이즈,14
보만다,화염방사,패리퍼,9
보만다,화염방사,찌르호크,6
보만다,화염방사,대검귀,9
보만다,화염방사,마기라스,40
보만다,화염방사,이어롭,7
보만다,화염방사,플라엣테,8
보만다,화염방사,배바닐라,3
보만다,화염방사,드래펄트,9
보만다,화염방사,입치트,2
보만다,화염방사,메가니움,4
보만다,화염방사,메타몽,3
보만다,화염방사,이상해꽃,3
보만다,화염방사,밀로틱,40
보만다,화염방사,스코빌런,6
보만다,화염방사,아쿠스타,9
보만다,화염방사,몰드류,3
보만다,화염방사,조로아크(히스이),4
보만다,화염방사,미끄래곤(히스이),14
보만다,화염방사,잠만보,40
보만다,화염방사,무장조,4
보만다,화염방사,클레스퍼트라,5
보만다,화염방사,창파나이트,5
보만다,화염방사,우츠보트,3
보만다,화염방사,가라르야도킹,13
보만다,화염방사,깜까미,5
보만다,화염방사,엘풍,3
보만다,화염방사,저승갓숭,11
보만다,화염방사,스트린더(하이),5
보만다,화염방사,샤미드,40
보만다,화염방사,사마자르,5
보만다,화염방사,인텔리레온,9
보만다,화염방사,깨비물거미,9
보만다,화염방사,가디안,6
보만다,화염방사,왕구리,12
보만다,화염방사,엘레이드,5
보만다,화염방사,브리무음,6
보만다,화염방사,눈여아,3
보만다,화염방사,어흥염,14
보만다,화염방사,마릴리,14
보만다,화염방사,올리르바,4
보만다,화염방사,스트린더(로우),5
보만다,화염방사,펜드라,3
보만다,화염방사,화염레오,9
보만다,화염방사,윈디(히스이),22
보만다,화염방사,캥카,6
보만다,화염방사,꿈트렁,3
보만다,화염방사,에써르(암컷),6
보만다,화염방사,후딘,5
보만다,화염방사,드래캄,11
보만다,불대문자,한카리아스,10
보만다,불대문자,누리레느,13
보만다,불대문자,갑주무사,4
보만다,불대문자,하마돈,7
보만다,불대문자,루카리오,2
보만다,불대문자,드닐레이브,5
보만다,불대문자,브리두라스,5
보만다,불대문자,타부자고,3
보만다,불대문자,따라큐,4
보만다,불대문자,고릴타,2
보만다,불대문자,킬가르도,3
보만다,불대문자,마스카나,2
보만다,불대문자,갸라도스,10
보만다,불대문자,아머까오,4
보만다,불대문자,킬라플로르,9
보만다,불대문자,대쓰여너,10
보만다,불대문자,리자몽,9
보만다,불대문자,포푸니크,4
보만다,불대문자,개굴닌자,7
보만다,불대문자,에이스번,8
보만다,불대문자,알로라 나인테일,3
보만다,불대문자,에써르(수컷),4
보만다,불대문자,워시로토무,16
보만다,불대문자,불카모스,8
보만다,불대문자,빠르모트,4
보만다,불대문자,라우드본,15
보만다,불대문자,삼삼드래,9
보만다,불대문자,메타그로스,2
보만다,불대문자,망나뇽,12
보만다,불대문자,님피아,12
보만다,불대문자,히트로토무,8
보만다,불대문자,거북왕,10
보만다,불대문자,대도각참,3
보만다,불대문자,팬텀,4
보만다,불대문자,마폭시,9
보만다,불대문자,엠페르트,5
보만다,불대문자,번치코,7
보만다,불대문자,대짱이,12
보만다,불대문자,라이츄,4
보만다,불대문자,블래키,12
보만다,불대문자,다크펫,4
보만다,불대문자,더시마사리,33
보만다,불대문자,핫삼,2
보만다,불대문자,오롱털,5
보만다,불대문자,픽시,9
보만다,불대문자,카디나르마,9
보만다,불대문자,앱솔,4
보만다,불대문자,찌리배리,9
보만다,불대문자,맘모꾸리,3
보만다,불대문자,파라블레이즈,11
보만다,불대문자,패리퍼,7
보만다,불대문자,찌르호크,5
보만다,불대문자,대검귀,8
보만다,불대문자,마기라스,26
보만다,불대문자,이어롭,6
보만다,불대문자,플라엣테,6
보만다,불대문자,배바닐라,3
보만다,불대문자,드래펄트,7
보만다,불대문자,입치트,2
보만다,불대문자,메가니움,3
보만다,불대문자,메타몽,3
보만다,불대문자,이상해꽃,3
보만다,불대문자,밀로틱,40
보만다,불대문자,스코빌런,5
보만다,불대문자,아쿠스타,8
보만다,불대문자,몰드류,2
보만다,불대문자,조로아크(히스이),3
보만다,불대문자,미끄래곤(히스이),10
보만다,불대문자,잠만보,40
보만다,불대문자,무장조,3
보만다,불대문자,클레스퍼트라,4
보만다,불대문자,창파나이트,4
보만다,불대문자,우츠보트,3
보만다,불대문자,가라르야도킹,10
보만다,불대문자,깜까미,4
보만다,불대문자,엘풍,2
보만다,불대문자,저승갓숭,8
보만다,불대문자,스트린더(하이),4
보만다,불대문자,샤미드,40
보만다,불대문자,사마자르,4
보만다,불대문자,인텔리레온,7
보만다,불대문자,깨비물거미,7
보만다,불대문자,가디안,5
보만다,불대문자,왕구리,10
보만다,불대문자,엘레이드,5
보만다,불대문자,브리무음,5
보만다,불대문자,눈여아,2
보만다,불대문자,어흥염,12
보만다,불대문자,마릴리,11
보만다,불대문자,올리르바,3
보만다,불대문자,스트린더(로우),4
보만다,불대문자,펜드라,2
보만다,불대문자,화염레오,8
보만다,불대문자,윈디(히스이),18
보만다,불대문자,캥카,5
보만다,불대문자,꿈트렁,2
보만다,불대문자,에써르(암컷),5
보만다,불대문자,후딘,4
보만다,불대문자,드래캄,9
보만다,하이퍼보이스,한카리아스,6
보만다,하이퍼보이스,누리레느,8
보만다,하이퍼보이스,갑주무사,5
보만다,하이퍼보이스,하마돈,8
보만다,하이퍼보이스,루카리오,9
보만다,하이퍼보이스,드닐레이브,6
보만다,하이퍼보이스,브리두라스,12
보만다,하이퍼보이스,타부자고,무효
보만다,하이퍼보이스,따라큐,무효
보만다,하이퍼보이스,고릴타,5
보만다,하이퍼보이스,킬가르도,무효
보만다,하이퍼보이스,마스카나,5
보만다,하이퍼보이스,갸라도스,6
보만다,하이퍼보이스,아머까오,16
보만다,하이퍼보이스,킬라플로르,10
보만다,하이퍼보이스,대쓰여너,무효
보만다,하이퍼보이스,리자몽,6
보만다,하이퍼보이스,포푸니크,5
보만다,하이퍼보이스,개굴닌자,5
보만다,하이퍼보이스,에이스번,5
보만다,하이퍼보이스,알로라 나인테일,6
보만다,하이퍼보이스,에써르(수컷),5
보만다,하이퍼보이스,워시로토무,7
보만다,하이퍼보이스,불카모스,9
보만다,하이퍼보이스,빠르모트,4
보만다,하이퍼보이스,라우드본,무효
보만다,하이퍼보이스,삼삼드래,6
보만다,하이퍼보이스,메타그로스,9
보만다,하이퍼보이스,망나뇽,7
보만다,하이퍼보이스,님피아,16
보만다,하이퍼보이스,히트로토무,5
보만다,하이퍼보이스,거북왕,6
보만다,하이퍼보이스,대도각참,11
보만다,하이퍼보이스,팬텀,무효
보만다,하이퍼보이스,마폭시,6
보만다,하이퍼보이스,엠페르트,12
보만다,하이퍼보이스,번치코,4
보만다,하이퍼보이스,대짱이,7
보만다,하이퍼보이스,라이츄,5
보만다,하이퍼보이스,블래키,17
보만다,하이퍼보이스,다크펫,무효
보만다,하이퍼보이스,더시마사리,13
보만다,하이퍼보이스,핫삼,12
보만다,하이퍼보이스,오롱털,5
보만다,하이퍼보이스,픽시,12
보만다,하이퍼보이스,카디나르마,5
보만다,하이퍼보이스,앱솔,4
보만다,하이퍼보이스,찌리배리,12
보만다,하이퍼보이스,맘모꾸리,5
보만다,하이퍼보이스,파라블레이즈,무효
보만다,하이퍼보이스,패리퍼,5
보만다,하이퍼보이스,찌르호크,6
보만다,하이퍼보이스,대검귀,5
보만다,하이퍼보이스,마기라스,40
보만다,하이퍼보이스,이어롭,7
보만다,하이퍼보이스,플라엣테,8
보만다,하이퍼보이스,배바닐라,6
보만다,하이퍼보이스,드래펄트,무효
보만다,하이퍼보이스,입치트,7
보만다,하이퍼보이스,메가니움,7
보만다,하이퍼보이스,메타몽,3
보만다,하이퍼보이스,이상해꽃,6
보만다,하이퍼보이스,밀로틱,17
보만다,하이퍼보이스,스코빌런,6
보만다,하이퍼보이스,아쿠스타,5
보만다,하이퍼보이스,몰드류,10
보만다,하이퍼보이스,조로아크(히스이),무효
보만다,하이퍼보이스,미끄래곤(히스이),40
보만다,하이퍼보이스,잠만보,19
보만다,하이퍼보이스,무장조,14
보만다,하이퍼보이스,클레스퍼트라,5
보만다,하이퍼보이스,창파나이트,5
보만다,하이퍼보이스,우츠보트,6
보만다,하이퍼보이스,가라르야도킹,13
보만다,하이퍼보이스,깜까미,무효
보만다,하이퍼보이스,엘풍,5
보만다,하이퍼보이스,저승갓숭,무효
보만다,하이퍼보이스,스트린더(하이),5
보만다,하이퍼보이스,샤미드,16
보만다,하이퍼보이스,사마자르,9
보만다,하이퍼보이스,인텔리레온,5
보만다,하이퍼보이스,깨비물거미,9
보만다,하이퍼보이스,가디안,6
보만다,하이퍼보이스,왕구리,6
보만다,하이퍼보이스,엘레이드,5
보만다,하이퍼보이스,브리무음,6
보만다,하이퍼보이스,눈여아,무효
보만다,하이퍼보이스,어흥염,7
보만다,하이퍼보이스,마릴리,7
보만다,하이퍼보이스,올리르바,7
보만다,하이퍼보이스,스트린더(로우),5
보만다,하이퍼보이스,펜드라,5
보만다,하이퍼보이스,화염레오,5
보만다,하이퍼보이스,윈디(히스이),11
보만다,하이퍼보이스,캥카,6
보만다,하이퍼보이스,꿈트렁,10
보만다,하이퍼보이스,에써르(암컷),6
보만다,하이퍼보이스,후딘,5
보만다,하이퍼보이스,드래캄,6
보만다,역린,한카리아스,2
보만다,역린,누리레느,무효
보만다,역린,갑주무사,3
보만다,역린,하마돈,5
보만다,역린,루카리오,4
보만다,역린,드닐레이브,2
보만다,역린,브리두라스,4
보만다,역린,타부자고,7
보만다,역린,따라큐,무효
보만다,역린,고릴타,3
보만다,역린,킬가르도,8
보만다,역린,마스카나,2
보만다,역린,갸라도스,4
보만다,역린,아머까오,8
보만다,역린,킬라플로르,3
보만다,역린,대쓰여너,3
보만다,역린,리자몽,3
보만다,역린,포푸니크,2
보만다,역린,개굴닌자,2
보만다,역린,에이스번,2
보만다,역린,알로라 나인테일,무효
보만다,역린,에써르(수컷),2
보만다,역린,워시로토무,3
보만다,역린,불카모스,3
보만다,역린,빠르모트,2
보만다,역린,라우드본,5
보만다,역린,삼삼드래,2
보만다,역린,메타그로스,5
보만다,역린,망나뇽,2
보만다,역린,님피아,무효
보만다,역린,히트로토무,3
보만다,역린,거북왕,3
보만다,역린,대도각참,6
보만다,역린,팬텀,2
보만다,역린,마폭시,2
보만다,역린,엠페르트,5
보만다,역린,번치코,2
보만다,역린,대짱이,4
보만다,역린,라이츄,2
보만다,역린,블래키,5
보만다,역린,다크펫,2
보만다,역린,더시마사리,5
보만다,역린,핫삼,6
보만다,역린,오롱털,무효
보만다,역린,픽시,무효
보만다,역린,카디나르마,3
보만다,역린,앱솔,2
보만다,역린,찌리배리,5
보만다,역린,맘모꾸리,3
보만다,역린,파라블레이즈,3
보만다,역린,패리퍼,3
보만다,역린,찌르호크,4
보만다,역린,대검귀,3
보만다,역린,마기라스,4
보만다,역린,이어롭,3
보만다,역린,플라엣테,무효
보만다,역린,배바닐라,3
보만다,역린,드래펄트,1
보만다,역린,입치트,무효
보만다,역린,메가니움,4
보만다,역린,메타몽,2
보만다,역린,이상해꽃,3
보만다,역린,밀로틱,4
보만다,역린,스코빌런,3
보만다,역린,아쿠스타,2
보만다,역린,몰드류,5
보만다,역린,조로아크(히스이),2
보만다,역린,미끄래곤(히스이),3
보만다,역린,잠만보,4
보만다,역린,무장조,9
보만다,역린,클레스퍼트라,2
보만다,역린,창파나이트,3
보만다,역린,우츠보트,3
보만다,역린,가라르야도킹,4
보만다,역린,깜까미,2
보만다,역린,엘풍,무효
보만다,역린,저승갓숭,4
보만다,역린,스트린더(하이),2
보만다,역린,샤미드,4
보만다,역린,사마자르,3
보만다,역린,인텔리레온,2
보만다,역린,깨비물거미,3
보만다,역린,가디안,무효
보만다,역린,왕구리,3
보만다,역린,엘레이드,2
보만다,역린,브리무음,무효
보만다,역린,눈여아,2
보만다,역린,어흥염,5
보만다,역린,마릴리,무효
보만다,역린,올리르바,3
보만다,역린,스트린더(로우),2
보만다,역린,펜드라,3
보만다,역린,화염레오,3
보만다,역린,윈디(히스이),3
보만다,역린,캥카,3
보만다,역린,꿈트렁,8
보만다,역린,에써르(암컷),2
보만다,역린,후딘,2
보만다,역린,드래캄,1
한카리아스,지진,보만다,무효
한카리아스,지진,누리레느,3
한카리아스,지진,갑주무사,6
한카리아스,지진,하마돈,5
한카리아스,지진,루카리오,2
한카리아스,지진,드닐레이브,3
한카리아스,지진,브리두라스,2
한카리아스,지진,타부자고,3
한카리아스,지진,따라큐,2
한카리아스,지진,고릴타,5
한카리아스,지진,킬가르도,2
한카리아스,지진,마스카나,4
한카리아스,지진,갸라도스,무효
한카리아스,지진,아머까오,무효
한카리아스,지진,킬라플로르,2
한카리아스,지진,대쓰여너,3
한카리아스,지진,리자몽,무효
한카리아스,지진,포푸니크,1
한카리아스,지진,개굴닌자,2
한카리아스,지진,에이스번,1
한카리아스,지진,알로라 나인테일,2
한카리아스,지진,에써르(수컷),2
한카리아스,지진,워시로토무,무효
한카리아스,지진,불카모스,3
한카리아스,지진,빠르모트,2
한카리아스,지진,라우드본,3
한카리아스,지진,삼삼드래,무효
한카리아스,지진,메타그로스,2
한카리아스,지진,망나뇽,무효
한카리아스,지진,님피아,3
한카리아스,지진,히트로토무,무효
한카리아스,지진,거북왕,3
한카리아스,지진,대도각참,2
한카리아스,지진,팬텀,2
한카리아스,지진,마폭시,2
한카리아스,지진,엠페르트,2
한카리아스,지진,번치코,1
한카리아스,지진,대짱이,3
한카리아스,지진,라이츄,1
한카리아스,지진,블래키,5
한카리아스,지진,다크펫,2
한카리아스,지진,더시마사리,2
한카리아스,지진,핫삼,3
한카리아스,지진,오롱털,2
한카리아스,지진,픽시,4
한카리아스,지진,카디나르마,2
한카리아스,지진,앱솔,2
한카리아스,지진,찌리배리,2
한카리아스,지진,맘모꾸리,3
한카리아스,지진,파라블레이즈,2
한카리아스,지진,패리퍼,무효
한카리아스,지진,찌르호크,무효
한카리아스,지진,대검귀,3
한카리아스,지진,마기라스,2
한카리아스,지진,이어롭,3
한카리아스,지진,플라엣테,3
한카리아스,지진,배바닐라,2
한카리아스,지진,드래펄트,2
한카리아스,지진,입치트,2
한카리아스,지진,메가니움,6
한카리아스,지진,메타몽,2
한카리아스,지진,이상해꽃,3
한카리아스,지진,밀로틱,4
한카리아스,지진,스코빌런,3
한카리아스,지진,아쿠스타,2
한카리아스,지진,몰드류,1
한카리아스,지진,조로아크(히스이),2
한카리아스,지진,미끄래곤(히스이),2
한카리아스,지진,잠만보,4
한카리아스,지진,무장조,무효
한카리아스,지진,클레스퍼트라,2
한카리아스,지진,창파나이트,3
한카리아스,지진,우츠보트,3
한카리아스,지진,가라르야도킹,2
한카리아스,지진,깜까미,2
한카리아스,지진,엘풍,4
한카리아스,지진,저승갓숭,4
한카리아스,지진,스트린더(하이),2
한카리아스,지진,샤미드,4
한카리아스,지진,사마자르,3
한카리아스,지진,인텔리레온,2
한카리아스,지진,깨비물거미,6
한카리아스,지진,가디안,2
한카리아스,지진,왕구리,3
한카리아스,지진,엘레이드,2
한카리아스,지진,브리무음,3
한카리아스,지진,눈여아,2
한카리아스,지진,어흥염,3
한카리아스,지진,마릴리,3
한카리아스,지진,올리르바,5
한카리아스,지진,스트린더(로우),2
한카리아스,지진,펜드라,3
한카리아스,지진,화염레오,2
한카리아스,지진,윈디(히스이),2
한카리아스,지진,캥카,3
한카리아스,지진,꿈트렁,40
한카리아스,지진,에써르(암컷),2
한카리아스,지진,후딘,2
한카리아스,지진,드래캄,1
한카리아스,용성군,보만다,2
한카리아스,용성군,누리레느,무효
한카리아스,용성군,갑주무사,3
한카리아스,용성군,하마돈,4
한카리아스,용성군,루카리오,4
한카리아스,용성군,드닐레이브,2
한카리아스,용성군,브리두라스,3
한카리아스,용성군,타부자고,7
한카리아스,용성군,따라큐,무효
한카리아스,용성군,고릴타,2
한카리아스,용성군,킬가르도,9
한카리아스,용성군,마스카나,2
한카리아스,용성군,갸라도스,3
한카리아스,용성군,아머까오,7
한카리아스,용성군,킬라플로르,3
한카리아스,용성군,대쓰여너,3
한카리아스,용성군,리자몽,3
한카리아스,용성군,포푸니크,3
한카리아스,용성군,개굴닌자,2
한카리아스,용성군,에이스번,3
한카리아스,용성군,알로라 나인테일,무효
한카리아스,용성군,에써르(수컷),3
한카리아스,용성군,워시로토무,3
한카리아스,용성군,불카모스,4
한카리아스,용성군,빠르모트,2
한카리아스,용성군,라우드본,4
