pokemon,invest,mega,slot,move,type,cat,adoption_pct,role,status,drop_if_replaced,best_replacement,fastest_ko_share_pct,set_score,real_top4_score,real_top4,alt_set,win_share_pct,lose_share_pct
드닐레이브,물리,1,3,대검돌격,드래곤,물,77.5,,고정,,,52.8,0.2447,0.2388,지진|얼음뭉치|대검돌격|고드름떨구기,지진|얼음뭉치|대검돌격|고드름떨구기,31.4,4.2
드닐레이브,물리,1,4,용의춤,드래곤,변,33.8,쌓기,바꿈,0.0059,고드름떨구기,0,0.2447,0.2388,지진|얼음뭉치|대검돌격|고드름떨구기,지진|얼음뭉치|대검돌격|고드름떨구기,31.4,4.2
브리두라스,특수,0,1,러스터캐논,강철,특,77.7,,고정,,,20.7,-0.05,-0.05,러스터캐논|용성군|10만볼트|스텔스록,러스터캐논|용성군|스텔스록|파동탄,20.7,24.1
브리두라스,특수,0,2,용성군,드래곤,특,76.2,한방,고정,,,42.9,-0.05,-0.05,러스터캐논|용성군|10만볼트|스텔스록,러스터캐논|용성군|스텔스록|파동탄,20.7,24.1
브리두라스,특수,0,3,스텔스록,바위,변,62.5,모델 밖,유지,,,0,-0.05,-0.05,러스터캐논|용성군|10만볼트|스텔스록,러스터캐논|용성군|스텔스록|파동탄,20.7,24.1
브리두라스,특수,0,4,10만볼트,전기,특,66.2,,선택,0.0521,파동탄,32.8,-0.05,-0.05,러스터캐논|용성군|10만볼트|스텔스록,러스터캐논|용성군|스텔스록|파동탄,20.7,24.1
타부자고,특수,0,1,섀도볼,고스트,특,100,,고정,,,43.7,0.0407,0.0407,섀도볼|골드러시|나쁜음모|HP회복,,27.5,22.7
타부자고,특수,0,2,골드러시,강철,특,100,,고정,,,53.7,0.0407,0.0407,섀도볼|골드러시|나쁜음모|HP회복,,27.5,22.7
타부자고,특수,0,3,나쁜음모,악,변,92.3,쌓기,고정,,,0,0.0407,0.0407,섀도볼|골드러시|나쁜음모|HP회복,,27.5,22.7
타부자고,특수,0,4,HP회복,노말,변,69,회복,유지,,,0,0.0407,0.0407,섀도볼|골드러시|나쁜음모|HP회복,,27.5,22.7
따라큐,물리,0,1,치근거리기,페어리,물,99.6,,고정,,,65.2,-0.2349,-0.2349,치근거리기|야습|칼춤|섀도클로,치근거리기|야습|칼춤|저주,4.7,31.6
따라큐,물리,0,2,야습,고스트,물,98.1,,고정,,,32.2,-0.2349,-0.2349,치근거리기|야습|칼춤|섀도클로,치근거리기|야습|칼춤|저주,4.7,31.6
따라큐,물리,0,3,칼춤,노말,변,83.7,쌓기,고정,,,0,-0.2349,-0.2349,치근거리기|야습|칼춤|섀도클로,치근거리기|야습|칼춤|저주,4.7,31.6
따라큐,물리,0,4,섀도클로,고스트,물,66.1,,선택,0,저주,0,-0.2349,-0.2349,치근거리기|야습|칼춤|섀도클로,치근거리기|야습|칼춤|저주,4.7,31.6
고릴타,물리,0,1,그래스슬라이더,풀,물,100,,고정,,,21.8,-0.2409,-0.2409,그래스슬라이더|탁쳐서떨구기|유턴|10만마력,그래스슬라이더|탁쳐서떨구기|유턴|우드해머,15.9,41.8
고릴타,물리,0,2,탁쳐서떨구기,악,물,70.1,효과,유지,,,11.9,-0.2409,-0.2409,그래스슬라이더|탁쳐서떨구기|유턴|10만마력,그래스슬라이더|탁쳐서떨구기|유턴|우드해머,15.9,41.8
고릴타,물리,0,3,유턴,벌레,물,63.7,교체,유지,,,9,-0.2409,-0.2409,그래스슬라이더|탁쳐서떨구기|유턴|10만마력,그래스슬라이더|탁쳐서떨구기|유턴|우드해머,15.9,41.8
고릴타,물리,0,4,10만마력,땅,물,55.6,,선택,0.0749,우드해머,56.6,-0.2409,-0.2409,그래스슬라이더|탁쳐서떨구기|유턴|10만마력,그래스슬라이더|탁쳐서떨구기|유턴|우드해머,15.9,41.8
킬가르도,물리,0,1,야습,고스트,물,97.9,,고정,,,0,-0.0424,-0.1706,야습|킹실드|폴터가이스트|섀도볼,야습|킹실드|폴터가이스트|성스러운칼,19.4,20.8
킬가르도,물리,0,2,킹실드,강철,변,81.3,모델 밖,유지,,,0,-0.0424,-0.1706,야습|킹실드|폴터가이스트|섀도볼,야습|킹실드|폴터가이스트|성스러운칼,19.4,20.8
킬가르도,물리,0,3,폴터가이스트,고스트,물,53.3,,선택,0.1232,칼춤,72.2,-0.0424,-0.1706,야습|킹실드|폴터가이스트|섀도볼,야습|킹실드|폴터가이스트|성스러운칼,19.4,20.8
킬가르도,물리,0,4,인파이트,격투,물,15.9,,바꿈,0.0343,성스러운칼,25.8,-0.0424,-0.1706,야습|킹실드|폴터가이스트|섀도볼,야습|킹실드|폴터가이스트|성스러운칼,19.4,20.8
마스카나,물리,0,1,트릭플라워,풀,물,100,,고정,,,20,-0.1212,-0.1212,트릭플라워|트리플악셀|탁쳐서떨구기|유턴,,12,35.2
마스카나,물리,0,2,트리플악셀,얼음,물,93.9,,고정,,,53,-0.1212,-0.1212,트릭플라워|트리플악셀|탁쳐서떨구기|유턴,,12,35.2
마스카나,물리,0,3,탁쳐서떨구기,악,물,66.8,효과,유지,,,18.3,-0.1212,-0.1212,트릭플라워|트리플악셀|탁쳐서떨구기|유턴,,12,35.2
마스카나,물리,0,4,유턴,벌레,물,66.4,교체,유지,,,5.5,-0.1212,-0.1212,트릭플라워|트리플악셀|탁쳐서떨구기|유턴,,12,35.2
갸라도스,물리,0,1,파워휩,풀,물,70.4,,고정,,,60.7,0.1042,0.0436,파워휩|폭포오르기|눈사태|도발,파워휩|도발|폭포오르기|용의춤,41.5,28.5
갸라도스,물리,0,2,도발,악,변,51.6,모델 밖,유지,,,0,0.1042,0.0436,파워휩|폭포오르기|눈사태|도발,파워휩|도발|폭포오르기|용의춤,41.5,28.5
갸라도스,물리,0,3,지진,땅,물,46.4,,바꿈,0.0059,폭포오르기,36.9,0.1042,0.0436,파워휩|폭포오르기|눈사태|도발,파워휩|도발|폭포오르기|용의춤,41.5,28.5
갸라도스,물리,0,4,용의춤,드래곤,변,33.8,쌓기,바꿈,0.0405,얼음엄니,0,0.1042,0.0436,파워휩|폭포오르기|눈사태|도발,파워휩|도발|폭포오르기|용의춤,41.5,28.5
아머까오,물리,0,1,날개쉬기,비행,변,100,회복,유지,,,0,-0.2775,-0.3364,날개쉬기|유턴|바디프레스|철벽,날개쉬기|유턴|철벽|아이언헤드,11.3,48.8
아머까오,물리,0,2,유턴,벌레,물,72,교체,유지,,,0.9,-0.2775,-0.3364,날개쉬기|유턴|바디프레스|철벽,날개쉬기|유턴|철벽|아이언헤드,11.3,48.8
아머까오,물리,0,3,철벽,강철,변,56.2,모델 밖,유지,,,0,-0.2775,-0.3364,날개쉬기|유턴|바디프레스|철벽,날개쉬기|유턴|철벽|아이언헤드,11.3,48.8
아머까오,물리,0,4,브레이브버드,비행,물,35.8,,바꿈,0.0557,아이언헤드,97,-0.2775,-0.3364,날개쉬기|유턴|바디프레스|철벽,날개쉬기|유턴|철벽|아이언헤드,11.3,48.8
킬라플로르,특수,0,1,파워젬,바위,특,85.1,,고정,,,28.2,-0.2255,-0.2255,파워젬|대지의힘|오물웨이브|스텔스록,파워젬|대지의힘|스텔스록|오물폭탄,8.7,37.4
킬라플로르,특수,0,2,대지의힘,땅,특,72.4,,고정,,,37.1,-0.2255,-0.2255,파워젬|대지의힘|오물웨이브|스텔스록,파워젬|대지의힘|스텔스록|오물폭탄,8.7,37.4
킬라플로르,특수,0,3,스텔스록,바위,변,44.1,모델 밖,유지,,,0,-0.2255,-0.2255,파워젬|대지의힘|오물웨이브|스텔스록,파워젬|대지의힘|스텔스록|오물폭탄,8.7,37.4
킬라플로르,특수,0,4,오물웨이브,독,특,63.9,,선택,0.008,오물폭탄,33.6,-0.2255,-0.2255,파워젬|대지의힘|오물웨이브|스텔스록,파워젬|대지의힘|스텔스록|오물폭탄,8.7,37.4
대쓰여너,물리,0,1,성묘,고스트,물,100,,고정,,,1.6,-0.1478,-0.1478,성묘|웨이브태클|아쿠아제트|퀵턴,,6.5,33.7
대쓰여너,물리,0,2,웨이브태클,물,물,99.4,,고정,,,97.1,-0.1478,-0.1478,성묘|웨이브태클|아쿠아제트|퀵턴,,6.5,33.7
대쓰여너,물리,0,3,아쿠아제트,물,물,94.1,선공,고정,,,0,-0.1478,-0.1478,성묘|웨이브태클|아쿠아제트|퀵턴,,6.5,33.7
대쓰여너,물리,0,4,퀵턴,물,물,79,교체,유지,,,0,-0.1478,-0.1478,성묘|웨이브태클|아쿠아제트|퀵턴,,6.5,33.7
리자몽,특수,1,1,솔라빔,풀,특,79.7,,고정,,,40.4,0.1665,0.0733,솔라빔|화염방사|에어슬래시|플레어드라이브,솔라빔|화염방사|에어슬래시|날개쉬기,34.7,20.2
리자몽,특수,1,2,에어슬래시,비행,특,52.3,,선택,0.0457,화염방사,19.8,0.1665,0.0733,솔라빔|화염방사|에어슬래시|플레어드라이브,솔라빔|화염방사|에어슬래시|날개쉬기,34.7,20.2
리자몽,특수,1,3,오버히트,불꽃,특,23.5,한방,바꿈,0.0164,화염방사,37.7,0.1665,0.0733,솔라빔|화염방사|에어슬래시|플레어드라이브,솔라빔|화염방사|에어슬래시|날개쉬기,34.7,20.2
리자몽,특수,1,4,날개쉬기,비행,변,22.6,회복,바꿈,0.0367,역린,0,0.1665,0.0733,솔라빔|화염방사|에어슬래시|플레어드라이브,솔라빔|화염방사|에어슬래시|날개쉬기,34.7,20.2
포푸니크,물리,0,1,인파이트,격투,물,100,,고정,,,54.8,-0.0243,-0.0243,인파이트|페이탈클로|칼춤|지옥찌르기,인파이트|페이탈클로|지옥찌르기|불꽃펀치,21.4,31
포푸니크,물리,0,2,페이탈클로,독,물,99.7,,고정,,,28.9,-0.0243,-0.0243,인파이트|페이탈클로|칼춤|지옥찌르기,인파이트|페이탈클로|지옥찌르기|불꽃펀치,21.4,31
포푸니크,물리,0,3,칼춤,노말,변,57.9,쌓기,선택,0.0062,불꽃펀치,0,-0.0243,-0.0243,인파이트|페이탈클로|칼춤|지옥찌르기,인파이트|페이탈클로|지옥찌르기|불꽃펀치,21.4,31
포푸니크,물리,0,4,지옥찌르기,악,물,53.3,,선택,0.0252,불꽃펀치,14.8,-0.0243,-0.0243,인파이트|페이탈클로|칼춤|지옥찌르기,인파이트|페이탈클로|지옥찌르기|불꽃펀치,21.4,31
개굴닌자,특수,0,1,냉동빔,얼음,특,99.5,,고정,,,19.4,-0.053,-0.0567,냉동빔|악의파동|오물웨이브|물수리검,냉동빔|악의파동|오물웨이브|물수리검,12.2,22.1
개굴닌자,특수,0,2,악의파동,악,특,87,,고정,,,15.2,-0.053,-0.0567,냉동빔|악의파동|오물웨이브|물수리검,냉동빔|악의파동|오물웨이브|물수리검,12.2,22.1
개굴닌자,특수,0,3,오물웨이브,독,특,81.8,,고정,,,27.9,-0.053,-0.0567,냉동빔|악의파동|오물웨이브|물수리검,냉동빔|악의파동|오물웨이브|물수리검,12.2,22.1
개굴닌자,특수,0,4,파도타기,물,특,38.5,,바꿈,0.0036,물수리검,35.3,-0.053,-0.0567,냉동빔|악의파동|오물웨이브|물수리검,냉동빔|악의파동|오물웨이브|물수리검,12.2,22.1
에이스번,물리,0,1,화염볼,불꽃,물,100,,고정,,,29.7,0.1823,0.1823,화염볼|무릎차기|더스트슈트|유턴,,36.8,16.9
에이스번,물리,0,2,무릎차기,격투,물,92,,고정,,,41.5,0.1823,0.1823,화염볼|무릎차기|더스트슈트|유턴,,36.8,16.9
에이스번,물리,0,3,더스트슈트,독,물,78.2,,고정,,,22.9,0.1823,0.1823,화염볼|무릎차기|더스트슈트|유턴,,36.8,16.9
에이스번,물리,0,4,유턴,벌레,물,56.4,교체,유지,,,5.5,0.1823,0.1823,화염볼|무릎차기|더스트슈트|유턴,,36.8,16.9
알로라 나인테일,특수,0,1,오로라베일,얼음,변,99.5,모델 밖,유지,,,0,-0.3149,-0.3381,오로라베일|프리즈드라이|앙코르|눈보라,오로라베일|프리즈드라이|앙코르|눈보라,8.7,47.1
알로라 나인테일,특수,0,2,프리즈드라이,얼음,특,82.1,,고정,,,28.3,-0.3149,-0.3381,오로라베일|프리즈드라이|앙코르|눈보라,오로라베일|프리즈드라이|앙코르|눈보라,8.7,47.1
알로라 나인테일,특수,0,3,앙코르,노말,변,77,모델 밖,유지,,,0,-0.3149,-0.3381,오로라베일|프리즈드라이|앙코르|눈보라,오로라베일|프리즈드라이|앙코르|눈보라,8.7,47.1
알로라 나인테일,특수,0,4,문포스,페어리,특,48.7,,바꿈,0.0232,눈보라,70.6,-0.3149,-0.3381,오로라베일|프리즈드라이|앙코르|눈보라,오로라베일|프리즈드라이|앙코르|눈보라,8.7,47.1
에써르(수컷),특수,0,1,와이드포스,에스퍼,특,100,,고정,,,48.3,-0.3692,-0.3692,와이드포스|매지컬플레임|매지컬샤인|앙코르,,4,55.3
에써르(수컷),특수,0,2,매지컬플레임,불꽃,특,83.8,,고정,,,20.3,-0.3692,-0.3692,와이드포스|매지컬플레임|매지컬샤인|앙코르,,4,55.3
에써르(수컷),특수,0,3,매지컬샤인,페어리,특,75.5,,고정,,,30.8,-0.3692,-0.3692,와이드포스|매지컬플레임|매지컬샤인|앙코르,,4,55.3
에써르(수컷),특수,0,4,앙코르,노말,변,53.6,모델 밖,유지,,,0,-0.3692,-0.3692,와이드포스|매지컬플레임|매지컬샤인|앙코르,,4,55.3
워시로토무,특수,0,1,하이드로펌프,물,특,100,,고정,,,73.5,-0.0378,-0.0378,하이드로펌프|볼트체인지|도깨비불|10만볼트,,27.3,27.3
워시로토무,특수,0,2,볼트체인지,전기,특,91.5,교체,유지,,,0,-0.0378,-0.0378,하이드로펌프|볼트체인지|도깨비불|10만볼트,,27.3,27.3
워시로토무,특수,0,3,도깨비불,불꽃,변,86,모델 밖,유지,,,0,-0.0378,-0.0378,하이드로펌프|볼트체인지|도깨비불|10만볼트,,27.3,27.3
워시로토무,특수,0,4,10만볼트,전기,특,45.6,,선택,0.0241,,25.8,-0.0378,-0.0378,하이드로펌프|볼트체인지|도깨비불|10만볼트,,27.3,27.3
불카모스,특수,0,1,나비춤,벌레,변,98.9,쌓기,고정,,,0,-0.1072,-0.1072,나비춤|기가드레인|불꽃춤|아침햇살,,27.5,41.4
불카모스,특수,0,2,기가드레인,풀,특,81.2,,고정,,,30.4,-0.1072,-0.1072,나비춤|기가드레인|불꽃춤|아침햇살,,27.5,41.4
불카모스,특수,0,3,불꽃춤,불꽃,특,80,,고정,,,68.5,-0.1072,-0.1072,나비춤|기가드레인|불꽃춤|아침햇살,,27.5,41.4
불카모스,특수,0,4,아침햇살,노말,변,59.9,회복,유지,,,0,-0.1072,-0.1072,나비춤|기가드레인|불꽃춤|아침햇살,,27.5,41.4
빠르모트,물리,0,1,전광쌍격,전기,물,95.2,선공,고정,,,57.7,0.0494,0.0494,전광쌍격|회생의기도|냉동펀치|인파이트,전광쌍격|회생의기도|인파이트|마하펀치,19.2,10.8
빠르모트,물리,0,2,회생의기도,노말,변,93.2,모델 밖,유지,,,0,0.0494,0.0494,전광쌍격|회생의기도|냉동펀치|인파이트,전광쌍격|회생의기도|인파이트|마하펀치,19.2,10.8
빠르모트,물리,0,3,냉동펀치,얼음,물,66.6,,선택,0.0347,마하펀치,14.1,0.0494,0.0494,전광쌍격|회생의기도|냉동펀치|인파이트,전광쌍격|회생의기도|인파이트|마하펀치,19.2,10.8
빠르모트,물리,0,4,인파이트,격투,물,59.7,,선택,0.0849,마하펀치,28,0.0494,0.0494,전광쌍격|회생의기도|냉동펀치|인파이트,전광쌍격|회생의기도|인파이트|마하펀치,19.2,10.8
라우드본,특수,0,1,플레어송,불꽃,특,100,,고정,,,56.5,-0.3223,-0.3223,플레어송|게으름피우기|도깨비불|섀도볼,플레어송|게으름피우기|도깨비불|병상첨병,11,56.2
라우드본,특수,0,2,게으름피우기,노말,변,95.1,회복,유지,,,0,-0.3223,-0.3223,플레어송|게으름피우기|도깨비불|섀도볼,플레어송|게으름피우기|도깨비불|병상첨병,11,56.2
라우드본,특수,0,3,도깨비불,불꽃,변,81.2,모델 밖,유지,,,0,-0.3223,-0.3223,플레어송|게으름피우기|도깨비불|섀도볼,플레어송|게으름피우기|도깨비불|병상첨병,11,56.2
라우드본,특수,0,4,섀도볼,고스트,특,55.9,,선택,0.0298,병상첨병,42.6,-0.3223,-0.3223,플레어송|게으름피우기|도깨비불|섀도볼,플레어송|게으름피우기|도깨비불|병상첨병,11,56.2
삼삼드래,특수,0,1,악의파동,악,특,100,,고정,,,36.8,-0.1285,-0.1285,악의파동|용성군|유턴|화염방사,,19.3,38
삼삼드래,특수,0,2,용성군,드래곤,특,98.5,한방,고정,,,40.6,-0.1285,-0.1285,악의파동|용성군|유턴|화염방사,,19.3,38
삼삼드래,특수,0,3,유턴,벌레,물,83.5,교체,유지,,,4.4,-0.1285,-0.1285,악의파동|용성군|유턴|화염방사,,19.3,38
삼삼드래,특수,0,4,화염방사,불꽃,특,76.3,,고정,,,17,-0.1285,-0.1285,악의파동|용성군|유턴|화염방사,,19.3,38
메타그로스,물리,1,1,불릿펀치,강철,물,93.8,선공,고정,,,2.6,0.2085,0.2085,불릿펀치|사이코팽|냉동펀치|지진,불릿펀치|사이코팽|지진|바디프레스,27.1,4.4
메타그로스,물리,1,2,사이코팽,에스퍼,물,82.8,,고정,,,37.4,0.2085,0.2085,불릿펀치|사이코팽|냉동펀치|지진,불릿펀치|사이코팽|지진|바디프레스,27.1,4.4
메타그로스,물리,1,3,냉동펀치,얼음,물,67.4,,선택,0.0194,바디프레스,24.4,0.2085,0.2085,불릿펀치|사이코팽|냉동펀치|지진,불릿펀치|사이코팽|지진|바디프레스,27.1,4.4
메타그로스,물리,1,4,지진,땅,물,50.7,,선택,0.058,바디프레스,32.4,0.2085,0.2085,불릿펀치|사이코팽|냉동펀치|지진,불릿펀치|사이코팽|지진|바디프레스,27.1,4.4
망나뇽,특수,1,1,날개쉬기,비행,변,51,회복,유지,,,0,0.2113,0.0932,화염방사|용성군|신속|날개쉬기,날개쉬기|화염방사|용성군|10만볼트,43.9,13.3
망나뇽,특수,1,2,화염방사,불꽃,특,68.7,,선택,0.0522,지진,31.7,0.2113,0.0932,화염방사|용성군|신속|날개쉬기,날개쉬기|화염방사|용성군|10만볼트,43.9,13.3
망나뇽,특수,1,3,10만볼트,전기,특,43.9,,바꿈,0.0323,에어슬래시,21.4,0.2113,0.0932,화염방사|용성군|신속|날개쉬기,날개쉬기|화염방사|용성군|10만볼트,43.9,13.3
망나뇽,특수,1,4,용의파동,드래곤,특,26.5,,바꿈,0.0091,용성군,44.7,0.2113,0.0932,화염방사|용성군|신속|날개쉬기,날개쉬기|화염방사|용성군|10만볼트,43.9,13.3
님피아,특수,0,1,하이퍼보이스,노말,특,100,,고정,,,99,-0.173,-0.173,하이퍼보이스|하품|희망사항|방어,,16.3,44.8
님피아,특수,0,2,하품,노말,변,85.3,모델 밖,유지,,,0,-0.173,-0.173,하이퍼보이스|하품|희망사항|방어,,16.3,44.8
님피아,특수,0,3,희망사항,노말,변,71.6,회복,유지,,,0,-0.173,-0.173,하이퍼보이스|하품|희망사항|방어,,16.3,44.8
님피아,특수,0,4,방어,노말,변,66.4,모델 밖,유지,,,0,-0.173,-0.173,하이퍼보이스|하품|희망사항|방어,,16.3,44.8
히트로토무,특수,0,1,오버히트,불꽃,특,100,한방,고정,,,48.2,0.002,0.002,오버히트|볼트체인지|도깨비불|10만볼트,,31.9,27.4
히트로토무,특수,0,2,볼트체인지,전기,특,89.5,교체,유지,,,0,0.002,0.002,오버히트|볼트체인지|도깨비불|10만볼트,,31.9,27.4
히트로토무,특수,0,3,도깨비불,불꽃,변,68.2,모델 밖,유지,,,0,0.002,0.002,오버히트|볼트체인지|도깨비불|10만볼트,,31.9,27.4
히트로토무,특수,0,4,10만볼트,전기,특,48.9,,선택,0.0741,,51.1,0.002,0.002,오버히트|볼트체인지|도깨비불|10만볼트,,31.9,27.4
거북왕,특수,1,1,껍질깨기,노말,변,92.2,쌓기,고정,,,0,0.0415,0.0415,껍질깨기|파동탄|악의파동|대지의파동,,32.4,23.6
거북왕,특수,1,2,파동탄,격투,특,85.3,,고정,,,51.3,0.0415,0.0415,껍질깨기|파동탄|악의파동|대지의파동,,32.4,23.6
거북왕,특수,1,3,악의파동,악,특,82.2,,고정,,,38.3,0.0415,0.0415,껍질깨기|파동탄|악의파동|대지의파동,,32.4,23.6
거북왕,특수,1,4,대지의파동,노말,특,70.1,,고정,,,9.5,0.0415,0.0415,껍질깨기|파동탄|악의파동|대지의파동,,32.4,23.6
대도각참,물리,0,1,기습,악,물,100,선공,고정,,,0,-0.2019,-0.2019,기습|도각참|아이언헤드|칼춤,,20.5,49.3
대도각참,물리,0,2,도각참,악,물,97.8,,고정,,,72.9,-0.2019,-0.2019,기습|도각참|아이언헤드|칼춤,,20.5,49.3
대도각참,물리,0,3,아이언헤드,강철,물,78.7,,고정,,,25.3,-0.2019,-0.2019,기습|도각참|아이언헤드|칼춤,,20.5,49.3
대도각참,물리,0,4,칼춤,노말,변,65.3,쌓기,선택,0.0424,,0,-0.2019,-0.2019,기습|도각참|아이언헤드|칼춤,,20.5,49.3
팬텀,특수,1,1,섀도볼,고스트,특,94,,고정,,,48.5,0.0271,0.0271,섀도볼|오물웨이브|길동무|방어,,22.2,20.5
팬텀,특수,1,2,오물웨이브,독,특,77.1,,고정,,,50,0.0271,0.0271,섀도볼|오물웨이브|길동무|방어,,22.2,20.5
팬텀,특수,1,3,길동무,고스트,변,62.6,모델 밖,유지,,,0,0.0271,0.0271,섀도볼|오물웨이브|길동무|방어,,22.2,20.5
팬텀,특수,1,4,방어,노말,변,60.8,모델 밖,유지,,,0,0.0271,0.0271,섀도볼|오물웨이브|길동무|방어,,22.2,20.5
마폭시,특수,1,1,화염방사,불꽃,특,76.8,,고정,,,48.9,0.2601,0.2601,화염방사|사이코키네시스|나쁜음모|매지컬샤인,화염방사|사이코키네시스|매지컬샤인|사이코쇼크,47.3,6.9
마폭시,특수,1,2,사이코키네시스,에스퍼,특,60.3,,선택,0.0174,사이코쇼크,27,0.2601,0.2601,화염방사|사이코키네시스|나쁜음모|매지컬샤인,화염방사|사이코키네시스|매지컬샤인|사이코쇼크,47.3,6.9
마폭시,특수,1,3,나쁜음모,악,변,58.3,쌓기,선택,0.0169,사이코쇼크,0,0.2601,0.2601,화염방사|사이코키네시스|나쁜음모|매지컬샤인,화염방사|사이코키네시스|매지컬샤인|사이코쇼크,47.3,6.9
마폭시,특수,1,4,매지컬샤인,페어리,특,47.8,,선택,0.0701,사이코쇼크,22.2,0.2601,0.2601,화염방사|사이코키네시스|나쁜음모|매지컬샤인,화염방사|사이코키네시스|매지컬샤인|사이코쇼크,47.3,6.9
엠페르트,특수,0,1,파도타기,물,특,72.1,,고정,,,73,-0.2498,-0.2703,파도타기|스텔스록|하품|냉동빔,파도타기|스텔스록|하품|냉동빔,16.5,48.2
