atk_ko,def_ko,atk_rank,def_rank,ttk_atk_to_def,ttk_def_to_atk,v_base,v_atk_mega,v_def_has_item,v_def_mega,def_assumed_item
보만다,님피아,1,31,4.000,2.000,-0.5933,-0.0077,-0.7567,,먹다남은음식
보만다,히트로토무,1,32,3.000,4.000,0.5158,0.7493,0.0492,,구애스카프
보만다,거북왕,1,33,3.000,2.000,-0.0256,-0.0256,-0.0256,-0.3594,없음
보만다,대도각참,1,34,3.000,5.000,0.8061,0.7250,0.7250,,타입강화
보만다,팬텀,1,35,2.000,2.000,-0.0937,0.4428,-0.0937,-0.3288,기합의띠
보만다,마폭시,1,36,2.000,3.000,0.2419,0.7085,0.2419,-0.2573,기합의띠
보만다,엠페르트,1,37,3.000,2.000,-0.0256,-0.0256,-0.0256,,없음
보만다,번치코,1,38,2.000,4.000,0.7085,0.7784,0.3730,0.0766,생명의구슬
보만다,대짱이,1,39,3.000,3.000,0.2094,0.2094,-0.0256,-0.0256,자뭉열매
보만다,라이츄,1,40,2.000,3.000,0.2419,0.7085,0.2419,-0.0937,구애스카프
보만다,블래키,1,41,4.000,9.000,0.8830,0.9294,0.8234,,먹다남은음식
보만다,다크펫,1,42,2.000,5.000,0.8807,0.7802,0.8807,0.5434,기합의띠
보만다,더시마사리,1,43,4.000,22.000,0.9216,0.9216,0.9059,,먹다남은음식
보만다,핫삼,1,44,2.000,7.000,0.9887,0.9757,0.9757,0.9757,울퉁불퉁멧
보만다,오롱털,1,45,3.000,3.000,-0.0256,0.3730,-0.0256,,없음
보만다,픽시,1,46,5.000,3.000,-0.2034,0.3166,-0.2666,-0.3723,먹다남은음식
보만다,카디나르마,1,47,3.000,4.000,0.5434,0.5434,0.5434,,기합의띠
보만다,앱솔,1,48,2.000,2.000,0.1379,0.1379,0.1379,-0.3288,없음
보만다,찌리배리,1,49,4.000,5.000,0.8724,0.8878,0.8171,,먹다남은음식
보만다,맘모꾸리,1,50,3.000,2.000,-0.1261,-0.1261,-0.1261,,기합의띠
보만다,파라블레이즈,1,51,2.000,4.000,0.6232,0.7085,0.6232,,기합의띠
보만다,패리퍼,1,52,2.000,2.000,0.0007,0.1493,0.0007,,없음
보만다,찌르호크,1,53,3.000,5.000,0.5978,0.8081,0.3645,0.2829,구애스카프
보만다,대검귀,1,54,3.000,2.000,-0.0256,0.1379,-0.0256,,타입강화
보만다,마기라스,1,55,3.000,2.000,0.2094,0.2094,-0.0256,-0.2589,먹다남은음식
보만다,이어롭,1,56,2.000,2.000,-0.4923,0.1379,-0.4923,-0.5928,자뭉열매
보만다,플라엣테,1,57,4.000,2.000,-0.4181,0.0095,-0.8126,-0.8661,구애스카프
보만다,배바닐라,1,58,3.000,1.000,-0.3612,-0.1977,-0.3612,,타입강화
보만다,드래펄트,1,59,2.000,2.000,-0.2589,-0.2589,-0.3594,,생명의구슬
보만다,입치트,1,60,2.000,3.000,0.4735,0.4428,0.4735,0.2094,기합의띠
보만다,메가니움,1,61,3.000,5.000,0.7198,0.9363,0.7198,-0.0256,기합의띠
보만다,메타몽,1,62,2.000,3.000,0.3730,0.4428,0.3730,,구애스카프
보만다,이상해꽃,1,63,3.000,5.000,0.7076,0.9303,0.5682,0.4018,생명의구슬
보만다,밀로틱,1,64,4.000,2.000,-0.0256,0.2090,-0.0614,,먹다남은음식
보만다,스코빌런,1,65,2.000,6.000,0.9614,0.9734,0.9600,0.9208,먹다남은음식
보만다,아쿠스타,1,66,2.000,2.000,-0.4923,0.1379,-0.4923,-0.5928,기합의띠
보만다,몰드류,1,67,2.000,4.000,0.6933,0.7085,0.2266,-0.0068,구애스카프
보만다,조로아크(히스이),1,68,2.000,2.000,-0.0937,0.4428,-0.0937,,기합의띠
보만다,미끄래곤(히스이),1,69,3.000,2.000,-0.1261,-0.0256,-0.1261,,먹다남은음식
보만다,잠만보,1,70,3.000,3.000,0.0641,0.2094,-0.0420,,먹다남은음식
보만다,무장조,1,71,3.000,6.000,0.9808,0.9445,0.9093,0.1444,자뭉열매
보만다,클레스퍼트라,1,72,2.000,4.000,0.0767,0.7085,0.0767,,기합의띠
보만다,창파나이트,1,73,3.000,5.000,0.9381,0.8807,0.9381,,없음
보만다,우츠보트,1,74,3.000,5.000,0.8773,0.8807,0.8773,0.4734,기합의띠
보만다,가라르야도킹,1,75,3.000,2.000,-0.0256,0.1305,-0.0256,,먹다남은음식
보만다,깜까미,1,76,2.000,8.000,0.9829,0.9829,0.9829,0.9482,없음
보만다,엘풍,1,77,2.000,3.000,-0.0937,0.6063,-0.0937,,기합의띠
보만다,저승갓숭,1,78,3.000,3.000,-0.0006,0.4428,-0.0256,,먹다남은음식
보만다,스트린더(하이),1,79,1.000,4.000,0.7784,0.7784,0.7085,,풍선
보만다,샤미드,1,80,4.000,2.000,-0.0256,0.2006,-0.0571,,먹다남은음식
보만다,사마자르,1,81,2.000,3.000,0.5434,0.7085,0.5434,,기합의띠
보만다,인텔리레온,1,82,2.000,2.000,-0.4293,-0.1960,-0.4293,,없음
보만다,깨비물거미,1,83,3.000,3.000,0.2094,0.5568,0.0896,,자뭉열매
보만다,가디안,1,84,3.000,2.000,-0.0955,0.1379,-0.0955,-0.4293,기합의띠
보만다,왕구리,1,85,3.000,2.000,-0.0256,0.1379,-0.0256,,없음
보만다,엘레이드,1,86,2.000,2.000,0.1323,0.2741,0.0374,-0.5928,생명의구슬
보만다,브리무음,1,87,4.000,2.000,-0.1422,0.1736,-0.1422,,기합의띠
보만다,눈여아,1,88,2.000,1.000,-0.6644,0.0374,-0.6644,-0.8279,기합의띠
보만다,어흥염,1,89,3.000,6.000,0.9600,0.9337,0.8940,,자뭉열매
보만다,마릴리,1,90,4.000,4.000,0.2233,0.2639,-0.0313,,자뭉열매
보만다,올리르바,1,91,3.000,3.000,0.4079,0.7784,0.4079,,기합의띠
보만다,스트린더(로우),1,92,1.000,4.000,0.7784,0.7784,0.7085,,풍선
보만다,펜드라,1,93,2.000,5.000,0.4489,0.8662,0.4489,0.3877,기합의띠
보만다,화염레오,1,94,2.000,4.000,0.0767,0.7802,0.0767,0.0767,기합의띠
보만다,윈디(히스이),1,95,2.000,2.000,0.2139,0.2139,0.1466,,기합의띠
보만다,캥카,1,96,3.000,3.000,0.2209,0.2249,0.2209,-0.2589,타입강화
보만다,꿈트렁,1,97,2.000,6.000,0.9734,0.9444,0.9687,,자뭉열매
보만다,에써르(암컷),1,98,2.000,4.000,0.7085,0.7085,0.7085,,없음
보만다,후딘,1,99,2.000,3.000,-0.0937,0.3100,-0.0937,,기합의띠
보만다,드래캄,1,100,2.000,2.000,0.1072,0.1072,-0.1279,-0.1279,생명의구슬
한카리아스,보만다,2,1,2.000,2.000,0.1379,0.1072,-0.3288,-0.4293,구애스카프
한카리아스,누리레느,2,3,2.000,2.000,0.1097,-0.1236,-0.0955,,자뭉열매
한카리아스,갑주무사,2,4,3.000,3.000,0.2400,0.4735,0.4070,0.4735,생명의구슬
한카리아스,하마돈,2,5,3.000,2.000,-0.0588,0.6325,-0.1454,,자뭉열매
한카리아스,루카리오,2,6,1.000,2.000,0.3712,0.1379,0.1379,-0.0955,기합의띠
한카리아스,드닐레이브,2,7,2.000,1.000,-0.1977,0.0356,-0.1977,-0.1977,기합의띠
한카리아스,브리두라스,2,8,2.000,1.000,-0.1977,-0.1977,-0.1977,,자뭉열매
한카리아스,타부자고,2,9,2.000,3.000,0.3693,0.2083,0.1358,,풍선
한카리아스,따라큐,2,10,2.000,2.000,0.1627,-0.0955,0.1379,,생명의구슬
한카리아스,고릴타,2,11,2.000,3.000,0.4735,0.8090,0.1379,,생명의구슬
한카리아스,킬가르도,2,12,2.000,2.000,0.1379,0.1379,0.1379,,먹다남은음식
한카리아스,마스카나,2,13,2.000,1.000,-0.6644,0.1379,-0.6644,,구애스카프
한카리아스,갸라도스,2,14,3.000,2.000,-0.0955,0.4735,-0.0955,-0.0955,울퉁불퉁멧
한카리아스,아머까오,2,15,4.000,5.000,0.5157,0.5732,0.3027,,울퉁불퉁멧
한카리아스,킬라플로르,2,16,1.000,3.000,0.7068,0.7068,0.4735,0.7068,기합의띠
한카리아스,대쓰여너,2,17,2.000,2.000,0.1379,0.4735,-0.3288,,구애스카프
한카리아스,리자몽,2,18,2.000,3.000,0.5492,0.3943,0.0826,0.1609,구애스카프
한카리아스,포푸니크,2,19,1.000,3.000,0.2401,0.1379,0.2401,,없음
한카리아스,개굴닌자,2,20,2.000,1.000,-0.6644,0.1379,-0.6644,-0.6644,기합의띠
한카리아스,에이스번,2,21,1.000,3.000,0.2401,0.4735,0.2401,,구애스카프
한카리아스,알로라 나인테일,2,22,2.000,1.000,-0.6644,0.1379,-0.6644,,없음
한카리아스,에써르(수컷),2,23,2.000,3.000,0.4735,0.4735,0.0068,,구애스카프
한카리아스,워시로토무,2,24,2.000,3.000,0.4735,1.0000,0.4735,,먹다남은음식
한카리아스,불카모스,2,25,2.000,4.000,0.6745,0.6745,0.5332,,자뭉열매
한카리아스,빠르모트,2,26,1.000,2.000,-0.0955,0.4735,-0.3288,,기합의띠
한카리아스,라우드본,2,27,2.000,4.000,0.7927,0.5684,0.5684,,자뭉열매
한카리아스,삼삼드래,2,28,1.000,1.000,0.0356,0.0356,-0.4311,,구애스카프
한카리아스,메타그로스,2,29,2.000,2.000,0.1379,0.4735,-0.1977,-0.3288,생명의구슬
한카리아스,망나뇽,2,30,2.495,2.000,0.1368,0.1368,0.1368,-0.1433,없음
한카리아스,님피아,2,31,3.000,1.000,-0.1245,-0.5249,-0.3579,,먹다남은음식
한카리아스,히트로토무,2,32,2.000,5.000,0.9113,0.9113,0.6780,,구애스카프
한카리아스,거북왕,2,33,2.000,2.000,0.1379,0.4735,0.1379,-0.4311,없음
한카리아스,대도각참,2,34,2.000,3.000,0.4735,0.4735,0.4735,,타입강화
한카리아스,팬텀,2,35,1.000,2.000,-0.0955,0.4735,-0.3288,-0.0955,기합의띠
한카리아스,마폭시,2,36,1.000,3.000,0.2401,0.4735,0.0068,-0.3288,기합의띠
한카리아스,엠페르트,2,37,2.000,2.000,0.1379,0.4850,0.1379,,없음
한카리아스,번치코,2,38,1.000,3.000,0.7068,0.1379,0.3712,0.1379,생명의구슬
한카리아스,대짱이,2,39,2.000,2.000,0.1379,0.4735,-0.0955,-0.0955,자뭉열매
한카리아스,라이츄,2,40,1.000,3.000,0.2401,0.4735,0.2401,-0.0955,구애스카프
한카리아스,블래키,2,41,3.000,6.000,0.8936,0.8379,0.8936,,먹다남은음식
한카리아스,다크펫,2,42,2.000,3.000,0.4735,0.4735,0.4735,0.1379,기합의띠
한카리아스,더시마사리,2,43,2.000,7.000,1.0000,0.9932,1.0000,,먹다남은음식
한카리아스,핫삼,2,44,2.000,4.000,0.7251,0.7656,0.6663,0.6663,울퉁불퉁멧
한카리아스,오롱털,2,45,2.000,2.000,0.1379,-0.0955,0.1379,,없음
한카리아스,픽시,2,46,3.000,3.000,0.2044,-0.2416,-0.0062,-0.5374,먹다남은음식
한카리아스,카디나르마,2,47,2.000,3.000,0.4735,0.4735,0.4735,,기합의띠
한카리아스,앱솔,2,48,2.000,2.000,0.1379,0.1379,0.1379,-0.3288,없음
한카리아스,찌리배리,2,49,2.000,11.000,1.0000,0.9937,1.0000,,먹다남은음식
한카리아스,맘모꾸리,2,50,2.000,1.000,-0.1977,0.1379,-0.1977,,기합의띠
한카리아스,파라블레이즈,2,51,1.000,3.000,0.7068,0.4735,0.4735,,기합의띠
한카리아스,패리퍼,2,52,2.000,2.000,0.1007,0.5270,0.1007,,없음
한카리아스,찌르호크,2,53,3.000,4.000,0.5550,0.7476,0.0883,-0.1840,구애스카프
한카리아스,대검귀,2,54,2.000,2.000,0.1379,0.4735,0.1379,,타입강화
한카리아스,마기라스,2,55,2.000,2.000,0.1379,0.4735,0.1379,0.1379,먹다남은음식
한카리아스,이어롭,2,56,2.000,2.000,-0.3288,0.4735,-0.3288,-0.6644,자뭉열매
한카리아스,플라엣테,2,57,3.000,2.000,-0.1525,-0.3859,-0.6192,-0.5161,구애스카프
한카리아스,배바닐라,2,58,2.000,1.000,-0.1977,0.1379,-0.1977,,타입강화
한카리아스,드래펄트,2,59,1.000,2.000,-0.0955,0.3712,-0.4311,,생명의구슬
한카리아스,입치트,2,60,2.000,2.000,0.1379,0.1379,0.1379,0.1379,기합의띠
한카리아스,메가니움,2,61,3.000,4.000,0.5432,0.7762,0.5432,-0.2586,기합의띠
한카리아스,메타몽,2,62,2.000,3.000,0.4735,0.3712,0.4735,,구애스카프
한카리아스,이상해꽃,2,63,3.000,5.000,0.9288,0.7552,0.7552,0.5914,생명의구슬
한카리아스,밀로틱,2,64,3.000,2.000,-0.0942,0.5727,-0.0955,,먹다남은음식
한카리아스,스코빌런,2,65,2.000,3.000,0.4735,0.9113,0.4735,0.1379,먹다남은음식
한카리아스,아쿠스타,2,66,2.000,2.000,-0.3288,0.4735,-0.3288,-0.6644,기합의띠
한카리아스,몰드류,2,67,1.000,3.000,0.7068,0.4735,0.2401,0.0068,구애스카프
한카리아스,조로아크(히스이),2,68,2.000,2.000,-0.3288,0.4735,-0.3288,,기합의띠
한카리아스,미끄래곤(히스이),2,69,2.000,2.000,0.1379,0.1379,0.1379,,먹다남은음식
한카리아스,잠만보,2,70,3.000,2.000,-0.0955,0.2400,-0.0955,,먹다남은음식
한카리아스,무장조,2,71,3.000,4.000,0.7216,0.7166,0.4429,-0.3975,자뭉열매
한카리아스,클레스퍼트라,2,72,2.000,3.000,0.0068,0.4735,0.0068,,기합의띠
한카리아스,창파나이트,2,73,2.000,2.000,0.1379,0.1379,0.1379,,없음
한카리아스,우츠보트,2,74,2.000,5.000,0.9113,0.8090,0.9113,0.5732,기합의띠
한카리아스,가라르야도킹,2,75,2.000,2.000,0.1379,0.5398,0.1379,,먹다남은음식
한카리아스,깜까미,2,76,2.000,5.000,0.8919,0.8919,0.8919,0.8890,없음
한카리아스,엘풍,2,77,2.000,2.000,-0.3288,0.1379,-0.3288,,기합의띠
한카리아스,저승갓숭,2,78,3.000,2.000,-0.0707,0.2648,-0.0955,,먹다남은음식
한카리아스,스트린더(하이),2,79,1.000,3.000,0.7068,0.7068,0.4735,,풍선
한카리아스,샤미드,2,80,3.000,2.000,-0.0667,0.5609,-0.0955,,먹다남은음식
한카리아스,사마자르,2,81,2.000,4.000,0.8090,0.4735,0.8090,,기합의띠
한카리아스,인텔리레온,2,82,2.000,2.000,-0.3288,0.4735,-0.3288,,없음
한카리아스,깨비물거미,2,83,2.000,2.000,0.1379,0.8090,-0.0955,,자뭉열매
한카리아스,가디안,2,84,2.000,2.000,0.1379,-0.0955,0.1379,-0.1977,기합의띠
한카리아스,왕구리,2,85,2.000,2.000,0.1379,0.4735,0.1379,,없음
한카리아스,엘레이드,2,86,2.000,1.000,-0.1977,0.1379,-0.1977,-0.6644,생명의구슬
한카리아스,브리무음,2,87,3.000,2.000,0.0212,-0.2122,0.0212,,기합의띠
한카리아스,눈여아,2,88,2.000,1.000,-0.6644,0.1379,-0.6644,-0.6644,기합의띠
한카리아스,어흥염,2,89,2.000,4.000,0.8090,0.8090,0.5732,,자뭉열매
한카리아스,마릴리,2,90,3.000,3.000,0.0394,-0.1939,0.0394,,자뭉열매
한카리아스,올리르바,2,91,3.000,3.000,0.3335,0.3335,0.3335,,기합의띠
한카리아스,스트린더(로우),2,92,1.000,3.000,0.7068,0.7068,0.4735,,풍선
한카리아스,펜드라,2,93,2.000,4.000,0.5188,0.4735,0.5188,0.3511,기합의띠
한카리아스,화염레오,2,94,1.000,3.000,0.2401,0.4735,0.0068,0.0068,기합의띠
한카리아스,윈디(히스이),2,95,1.000,2.000,0.3837,0.3750,0.1503,,기합의띠
한카리아스,캥카,2,96,2.000,2.000,0.1018,0.4735,0.1018,-0.0955,타입강화
한카리아스,꿈트렁,2,97,2.000,4.000,0.7967,0.8090,0.5732,,자뭉열매
한카리아스,에써르(암컷),2,98,2.000,3.000,0.4735,0.4735,0.4735,,없음
한카리아스,후딘,2,99,2.000,3.000,0.0068,0.4735,0.0068,,기합의띠
한카리아스,드래캄,2,100,1.000,1.000,0.0356,0.0356,0.0356,0.0356,생명의구슬
누리레느,보만다,3,1,2.000,4.000,0.3033,,0.3033,-0.2390,구애스카프
누리레느,한카리아스,3,2,2.000,2.000,-0.2883,,-0.2883,0.0473,구애스카프
누리레느,갑주무사,3,4,3.000,4.000,0.6337,,0.4871,0.1526,생명의구슬
누리레느,하마돈,3,5,2.000,3.000,0.5967,,0.5101,,자뭉열매
누리레느,루카리오,3,6,2.000,3.000,-0.3165,,-0.3165,-0.3569,기합의띠
누리레느,드닐레이브,3,7,2.000,3.000,0.0068,,0.0068,-0.2883,기합의띠
누리레느,브리두라스,3,8,3.000,2.000,-0.5621,,-0.5621,,자뭉열매
누리레느,타부자고,3,9,4.000,3.000,-0.4000,,-0.4000,,풍선
누리레느,따라큐,3,10,3.000,2.000,-0.5621,,-0.3722,,생명의구슬
누리레느,고릴타,3,11,2.000,1.000,-0.6644,,-0.6644,,생명의구슬
누리레느,킬가르도,3,12,3.000,2.000,-0.3569,,-0.5903,,먹다남은음식
누리레느,마스카나,3,13,1.000,2.000,-0.1236,,-0.1236,,구애스카프
누리레느,갸라도스,3,14,3.000,2.000,-0.5903,,-0.5903,-0.3288,울퉁불퉁멧
누리레느,아머까오,3,15,4.000,4.000,-0.4474,,-0.4474,,울퉁불퉁멧
누리레느,킬라플로르,3,16,2.000,2.000,-0.3288,,-0.3288,-0.6239,기합의띠
누리레느,대쓰여너,3,17,3.000,3.000,-0.2267,,-0.2267,,구애스카프
누리레느,리자몽,3,18,2.000,2.000,-0.2217,,-0.2217,-0.3260,구애스카프
누리레느,포푸니크,3,19,3.000,2.000,-0.5621,,-0.5621,,없음
누리레느,개굴닌자,3,20,1.000,2.000,-0.1236,,-0.3288,-0.3288,기합의띠
누리레느,에이스번,3,21,2.000,1.000,-0.6239,,-0.6239,,구애스카프
누리레느,알로라 나인테일,3,22,3.000,4.000,0.1468,,0.1468,,없음
누리레느,에써르(수컷),3,23,3.000,3.000,-0.2267,,-0.2267,,구애스카프
누리레느,워시로토무,3,24,3.000,2.000,-0.5621,,-0.5621,,먹다남은음식
누리레느,불카모스,3,25,2.000,4.000,0.1911,,0.0669,,자뭉열매
누리레느,빠르모트,3,26,1.000,1.000,-0.3906,,-0.6239,,기합의띠
누리레느,라우드본,3,27,2.000,6.000,0.9700,,0.7415,,자뭉열매
누리레느,삼삼드래,3,28,1.000,5.000,0.9220,,0.9220,,구애스카프
누리레느,메타그로스,3,29,3.000,2.000,-0.5217,,-0.5621,-0.5501,생명의구슬
누리레느,망나뇽,3,30,2.495,4.000,0.0795,,0.0795,-0.2339,없음
누리레느,님피아,3,31,5.000,3.000,-0.4525,,-0.6744,,먹다남은음식
누리레느,히트로토무,3,32,2.000,2.000,-0.3288,,-0.3288,,구애스카프
누리레느,거북왕,3,33,3.000,5.000,0.1357,,0.1357,-0.2295,없음
누리레느,대도각참,3,34,3.000,2.000,-0.0550,,-0.0550,,타입강화
누리레느,팬텀,3,35,2.000,2.000,-0.3569,,-0.3569,-0.5621,기합의띠
누리레느,마폭시,3,36,2.000,4.000,0.3188,,0.3188,0.0068,기합의띠
누리레느,엠페르트,3,37,6.000,4.000,-0.3678,,-0.3678,,없음
누리레느,번치코,3,38,2.000,3.000,-0.2883,,-0.1236,-0.3288,생명의구슬
누리레느,대짱이,3,39,3.000,3.000,-0.2884,,-0.5220,-0.5903,자뭉열매
누리레느,라이츄,3,40,2.000,2.000,-0.3569,,-0.3569,-0.6521,구애스카프
누리레느,블래키,3,41,3.000,9.000,0.9943,,0.9942,,먹다남은음식
누리레느,다크펫,3,42,2.000,2.000,-0.3288,,-0.3288,-0.3569,기합의띠
누리레느,더시마사리,3,43,8.000,11.000,0.7000,,0.2415,,먹다남은음식
누리레느,핫삼,3,44,3.000,3.000,-0.2800,,-0.3007,-0.3007,울퉁불퉁멧
누리레느,오롱털,3,45,2.000,3.000,0.2401,,0.2401,,없음
누리레느,픽시,3,46,4.000,5.000,0.3850,,0.2044,-0.1462,먹다남은음식
누리레느,카디나르마,3,47,2.000,3.000,0.0068,,0.0068,,기합의띠
누리레느,앱솔,3,48,1.000,3.000,0.2599,,0.2599,0.2401,없음
누리레느,찌리배리,3,49,4.000,3.000,-0.0193,,-0.1552,,먹다남은음식
누리레느,맘모꾸리,3,50,2.000,2.000,-0.2883,,-0.2883,,기합의띠
누리레느,파라블레이즈,3,51,2.000,2.000,-0.2883,,-0.2883,,기합의띠
누리레느,패리퍼,3,52,2.000,4.000,0.0859,,0.0859,,없음
누리레느,찌르호크,3,53,3.000,3.000,-0.2454,,-0.2454,-0.0547,구애스카프
누리레느,대검귀,3,54,2.000,6.000,1.0000,,0.9855,,타입강화
누리레느,마기라스,3,55,2.000,2.000,-0.2883,,-0.2883,-0.3288,먹다남은음식
누리레느,이어롭,3,56,3.000,2.000,-0.5217,,-0.5501,-0.3288,자뭉열매
누리레느,플라엣테,3,57,4.000,3.000,-0.5047,,-0.5047,-0.7197,구애스카프
누리레느,배바닐라,3,58,3.000,6.000,0.7880,,0.4785,,타입강화
누리레느,드래펄트,3,59,2.000,3.000,0.0068,,-0.1236,,생명의구슬
누리레느,입치트,3,60,2.000,3.000,0.4735,,0.4735,0.2400,기합의띠
누리레느,메가니움,3,61,3.000,2.000,-0.2858,,-0.2858,-0.6706,기합의띠
누리레느,메타몽,3,62,2.000,4.000,0.8214,,0.3828,,구애스카프
누리레느,이상해꽃,3,63,3.000,3.000,-0.2907,,-0.4543,-0.7880,생명의구슬
누리레느,밀로틱,3,64,5.000,9.000,0.8187,,0.5792,,먹다남은음식
누리레느,스코빌런,3,65,3.000,2.000,-0.5040,,-0.5621,-0.6458,먹다남은음식
누리레느,아쿠스타,3,66,3.000,4.000,0.3139,,0.3139,-0.1865,기합의띠
누리레느,몰드류,3,67,2.000,2.000,-0.2883,,-0.2883,-0.3288,구애스카프
누리레느,조로아크(히스이),3,68,2.000,3.000,0.0068,,0.0068,,기합의띠
누리레느,미끄래곤(히스이),3,69,4.000,3.000,-0.2290,,-0.3806,,먹다남은음식
누리레느,잠만보,3,70,5.000,3.000,-0.0650,,-0.2704,,먹다남은음식
누리레느,무장조,3,71,3.000,3.000,-0.0172,,-0.2400,-0.4898,자뭉열매
누리레느,클레스퍼트라,3,72,3.000,3.000,-0.0214,,-0.0214,,기합의띠
누리레느,창파나이트,3,73,2.000,2.000,-0.1236,,-0.1236,,없음
누리레느,우츠보트,3,74,2.000,2.000,-0.3569,,-0.3569,-0.5621,기합의띠
누리레느,가라르야도킹,3,75,4.000,2.000,-0.1461,,-0.3863,,먹다남은음식
누리레느,깜까미,3,76,1.000,7.000,1.0000,,1.0000,1.0000,없음
누리레느,엘풍,3,77,2.000,2.000,-0.2883,,-0.2883,,기합의띠
누리레느,저승갓숭,3,78,2.000,4.000,0.3794,,0.3794,,먹다남은음식
누리레느,스트린더(하이),3,79,3.000,2.000,-0.5621,,-0.5621,,풍선
누리레느,샤미드,3,80,5.000,9.000,0.8000,,0.5472,,먹다남은음식
누리레느,사마자르,3,81,2.000,3.000,0.2525,,0.0473,,기합의띠
누리레느,인텔리레온,3,82,2.000,5.000,0.6879,,0.6879,,없음
누리레느,깨비물거미,3,83,3.000,7.000,0.9537,,0.8886,,자뭉열매
누리레느,가디안,3,84,3.000,3.000,-0.2267,,-0.2267,-0.5501,기합의띠
누리레느,왕구리,3,85,3.000,6.000,0.7880,,0.7880,,없음
누리레느,엘레이드,3,86,2.000,2.000,-0.3274,,-0.3288,-0.3288,생명의구슬
누리레느,브리무음,3,87,3.000,3.000,0.2601,,0.2601,,기합의띠
누리레느,눈여아,3,88,2.000,3.000,0.0139,,0.0139,-0.5217,기합의띠
누리레느,어흥염,3,89,2.000,4.000,0.6162,,0.6133,,자뭉열매
누리레느,마릴리,3,90,3.000,4.000,0.2145,,0.1827,,자뭉열매
누리레느,올리르바,3,91,3.000,2.000,0.1218,,0.1218,,기합의띠
누리레느,스트린더(로우),3,92,3.000,2.000,-0.5621,,-0.5621,,풍선
누리레느,펜드라,3,93,3.000,2.000,-0.6048,,-0.6048,-0.8977,기합의띠
누리레느,화염레오,3,94,2.000,4.000,0.3424,,0.3424,0.0473,기합의띠
누리레느,윈디(히스이),3,95,1.000,2.000,-0.0830,,-0.3163,,기합의띠
누리레느,캥카,3,96,3.000,2.000,-0.5603,,-0.5665,-0.6220,타입강화
누리레느,꿈트렁,3,97,2.000,3.000,-0.0300,,-0.2246,,자뭉열매
누리레느,에써르(암컷),3,98,3.000,4.000,0.1468,,0.1468,,없음
누리레느,후딘,3,99,3.000,3.000,-0.2267,,-0.2267,,기합의띠
누리레느,드래캄,3,100,3.000,2.000,-0.0955,,0.1097,-0.3906,생명의구슬
